Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	1.199725728	3.406364121	530.963	212.385	1.5000	0.1348	3.1875	0.9007	1.6875	2.2066	288.000	448.000	416.000	160.000	18.51	R
2	Spectrogram 1	1	1.606775529	3.170703710	3265.475	1228.800	1.7812	0.1111	3.0000	0.8990	1.2188	1.5639	1408.000	3168.000	2976.000	1760.000	17.06	S
3	Spectrogram 1	1	3.727719227	4.520395154	3208.848	1046.756	3.8125	0.1000	4.4375	0.9000	0.6250	0.7927	1120.000	2912.000	1376.000	1792.000	17.12	SW
4	Spectrogram 1	1	5.420189450	7.176930695	409.600	227.556	5.6093	0.1071	7.0468	0.9286	1.4375	1.7567	256.000	384.000	320.000	128.000	14.89	R
5	Spectrogram 1	1	5.634426188	6.941270284	3227.724	1132.535	5.8593	0.1687	6.8593	0.9398	1.0000	1.3068	1408.000	3136.000	2912.000	1728.000	16.68	S
6	Spectrogram 1	1	7.476862127	8.355232750	3076.719	1137.778	7.6250	0.1636	8.2343	0.8727	0.6094	0.8784	1216.000	2752.000	1280.000	1536.000	17.72	SS
7	Spectrogram 1	1	9.255027046	11.440241765	483.236	230.112	9.6875	0.1942	11.2031	0.8921	1.5156	2.1852	320.000	448.000	416.000	128.000	16.91	R
8	Spectrogram 1	1	9.614127990	11.219903436	3227.724	1212.740	9.7656	0.0882	11.0625	0.9020	1.2969	1.6058	1312.000	3136.000	1440.000	1824.000	17.16	S
9	Spectrogram 1	1	11.461665439	12.318612387	2869.088	1107.437	11.6250	0.1852	12.2031	0.8704	0.5781	0.8569	1152.000	2720.000	1152.000	1568.000	17.43	SS
10	Spectrogram 1	1	13.189250682	15.249490877	527.899	228.281	13.4531	0.1231	15.0312	0.9000	1.5781	2.0602	320.000	448.000	416.000	128.000	22.19	R
11	Spectrogram 1	1	13.567971306	14.946514377	3265.475	1184.205	13.7031	0.0920	14.8593	0.9425	1.1562	1.3785	1344.000	3168.000	1440.000	1824.000	17.44	S
12	Spectrogram 1	1	15.298907517	16.268432315	3001.217	913.122	15.3906	0.0820	16.1406	0.8689	0.7500	0.9695	960.000	2752.000	1280.000	1792.000	16.16	SS
13	Spectrogram 1	1	16.780258273	18.825349643	499.364	256.816	17.2031	0.2077	18.6875	0.9385	1.4844	2.0451	352.000	448.000	416.000	96.000	21.39	R
14	Spectrogram 1	1	17.264284597	18.809985523	3322.101	1198.473	17.3906	0.0816	18.6250	0.8878	1.2344	1.5457	1248.000	3168.000	1280.000	1920.000	16.74	S
15	Spectrogram 1	1	19.257457073	20.287577171	3171.097	898.855	19.4218	0.1538	20.1406	0.8615	0.7188	1.0301	1024.000	2688.000	1280.000	1664.000	16.82	SS
16	Spectrogram 1	1	21.112822212	22.900383558	428.026	199.745	21.2656	0.0796	22.7812	0.9381	1.5156	1.7876	256.000	416.000	416.000	160.000	16.45	R
17	Spectrogram 1	1	21.529780817	22.953770364	3246.599	1227.008	21.6093	0.0549	22.7968	0.8901	1.1875	1.4240	1376.000	3072.000	1408.000	1696.000	17.24	S
18	Spectrogram 1	1	23.355584382	24.113025630	2944.590	1169.938	23.4687	0.1458	23.9843	0.8333	0.5156	0.7574	1248.000	2720.000	2528.000	1472.000	16.98	SS
19	Spectrogram 1	1	25.082550427	27.006451198	513.631	242.548	25.6250	0.2787	26.8750	0.9344	1.2500	1.9239	288.000	448.000	416.000	160.000	21.64	R
20	Spectrogram 1	1	25.328900380	26.768038752	3246.599	1227.008	25.4375	0.0659	26.6562	0.9231	1.2188	1.4391	1280.000	3168.000	1408.000	1888.000	17.01	S
21	Spectrogram 1	1	26.173265825	27.294278872	984.460	385.223	26.3281	0.1286	26.9375	0.6857	0.6094	1.1210	416.000	480.000	416.000	64.000	21.55	J
22	Spectrogram 1	1	27.157939447	27.911921381	2944.590	1084.333	27.2500	0.1064	27.7343	0.7660	0.4844	0.7540	1120.000	2880.000	1152.000	1760.000	16.30	SS
23	Spectrogram 1	1	28.624139966	30.775273110	470.829	214.013	28.8750	0.1168	30.5468	0.8978	1.6719	2.1511	288.000	448.000	416.000	160.000	20.19	R
24	Spectrogram 1	1	28.972560821	30.381401543	3265.475	1184.205	29.1406	0.1124	30.3281	0.9663	1.1875	1.4088	1280.000	3200.000	1248.000	1920.000	16.68	S
25	Spectrogram 1	1	30.351106011	31.335779634	941.657	385.223	30.3906	0.0323	31.1406	0.8065	0.7500	0.9847	416.000	704.000	416.000	288.000	23.48	J
26	Spectrogram 1	1	30.889812027	31.460205737	3095.594	1055.798	30.9843	0.1667	31.4218	0.9444	0.4375	0.5704	1120.000	2784.000	1280.000	1664.000	16.83	SS
27	Spectrogram 1	1	32.441643856	34.198907552	485.096	271.083	32.6718	0.1261	33.9687	0.8739	1.2969	1.7573	320.000	448.000	416.000	128.000	25.19	R
28	Spectrogram 1	1	32.608278812	34.017119534	3133.346	1027.262	32.8125	0.1444	33.9062	0.9222	1.0938	1.4088	1120.000	3008.000	1120.000	1888.000	16.08	S
29	Spectrogram 1	1	34.001972828	35.562301799	856.052	342.421	34.0937	0.0510	35.3750	0.8878	1.2812	1.5603	448.000	800.000	576.000	352.000	24.07	J
30	Spectrogram 1	1	35.234710112	35.963115018	2850.212	1226.912	35.3125	0.0889	35.8906	0.9111	0.5781	0.7284	1280.000	2752.000	1376.000	1472.000	13.48	SS
31	Spectrogram 1	1	36.726261944	37.892721466	499.364	328.153	36.9375	0.1757	37.7500	0.8784	0.8125	1.1665	352.000	448.000	416.000	96.000	22.00	R
32	Spectrogram 1	1	36.927180336	37.741279937	3133.346	1000.406	37.0312	0.1176	37.6875	0.9412	0.6562	0.8141	1088.000	2976.000	1120.000	1888.000	13.84	S
33	Spectrogram 1	1	37.832126167	39.422752788	884.587	313.886	38.0312	0.1188	39.2500	0.8911	1.2188	1.5906	416.000	832.000	576.000	416.000	24.92	J
