Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	647.343209507	648.200156456	4824.178	500.622	647.4023	0.0556	648.1154	0.9074	0.7131	0.8569	512.000	3296.000	512.000	2784.000	13.03	break
2	Spectrogram 1	1	651.514343193	654.695596436	3900.952	1578.957	651.7121	0.0588	654.5491	0.9559	2.8370	3.1813	1664.000	3424.000	1920.000	1760.000	12.23	WH
3	Spectrogram 1	1	655.801460658	656.574050731	3102.186	1281.741	655.8359	0.0408	656.5025	0.9184	0.6666	0.7726	1376.000	2944.000	1440.000	1568.000	12.31	S
4	Spectrogram 1	1	657.028515480	658.543397976	3325.098	910.222	657.1226	0.0619	658.4869	0.9691	1.3643	1.5149	960.000	2976.000	1024.000	2016.000	12.45	WH
5	Spectrogram 1	1	658.904471053	660.949562423	3269.370	835.918	659.1380	0.1145	660.7348	0.9008	1.5968	2.0451	960.000	2752.000	992.000	1792.000	12.97	WH
6	Spectrogram 1	1	661.585813072	662.737123769	2972.154	1244.590	661.7115	0.1081	662.6572	0.9324	0.9457	1.1513	1312.000	2880.000	1408.000	1568.000	12.58	S
7	Spectrogram 1	1	663.237034993	663.949029766	3232.218	798.766	663.3238	0.1111	663.8974	0.9333	0.5736	0.7120	896.000	2592.000	992.000	1696.000	13.40	SW
9	Spectrogram 1	1	664.873108089	666.494032360	3287.946	743.039	665.0136	0.0865	666.3004	0.8846	1.2867	1.6209	832.000	2784.000	992.000	1952.000	14.24	SW
10	Spectrogram 1	1	667.413112859	668.322042357	3120.762	1244.590	667.4631	0.0517	668.2692	0.9483	0.8062	0.9089	1344.000	3008.000	1536.000	1664.000	12.44	S
11	Spectrogram 1	1	667.534303459	668.897697706	445.823	222.912	667.6801	0.1034	668.7188	0.8736	1.0387	1.3634	288.000	384.000	352.000	96.000	20.16	R
12	Spectrogram 1	1	669.094632430	670.564068452	3027.882	724.463	669.2614	0.1064	670.4861	0.9468	1.2247	1.4694	832.000	2816.000	992.000	1984.000	13.49	SW
13	Spectrogram 1	1	671.639635024	672.684903947	538.703	260.063	671.7264	0.0758	672.5790	0.9091	0.8527	1.0453	320.000	480.000	384.000	160.000	17.36	R
14	Spectrogram 1	1	671.669932674	672.715201596	2990.730	1263.166	671.7109	0.0303	672.6255	0.9242	0.9147	1.0453	1312.000	2880.000	1440.000	1568.000	11.99	S
15	Spectrogram 1	1	673.169666345	673.624131094	1300.317	817.342	673.2612	0.1786	673.6022	0.9643	0.3411	0.4545	864.000	1216.000	1056.000	352.000	13.19	SS
16	Spectrogram 1	1	674.169488793	675.957050139	464.399	222.912	674.2689	0.0526	675.7571	0.8947	1.4883	1.7876	256.000	416.000	384.000	160.000	20.08	R
17	Spectrogram 1	1	674.554679390	675.342418288	2935.002	1188.862	674.6099	0.0600	675.3076	0.9600	0.6976	0.7877	1312.000	2816.000	1344.000	1504.000	13.56	S
18	Spectrogram 1	1	675.509055363	675.842329512	1523.229	910.222	675.5401	0.0952	675.8036	0.9048	0.2635	0.3333	928.000	1408.000	1056.000	480.000	11.61	SS
19	Spectrogram 1	1	677.049453912	678.452704540	482.975	278.639	677.2919	0.1685	678.4236	0.9888	1.1317	1.4033	288.000	416.000	384.000	128.000	18.13	R
20	Spectrogram 1	1	677.274402486	678.045654740	3195.066	1207.438	677.3229	0.0612	678.0051	0.9592	0.6821	0.7713	1280.000	3008.000	2848.000	1728.000	12.98	S
21	Spectrogram 1	1	678.463416377	679.941649864	1151.710	297.215	678.5477	0.0532	679.7104	0.8511	1.1627	1.4782	352.000	960.000	416.000	608.000	18.42	J
22	Spectrogram 1	1	679.888090679	680.145174764	2191.964	1690.413	679.9119	0.0625	680.1445	1.0000	0.2325	0.2571	1728.000	2144.000	1824.000	416.000	11.85	SS
23	Spectrogram 1	1	681.087816407	682.191135604	557.279	241.488	681.3227	0.2113	682.0823	0.9014	0.7596	1.1033	320.000	448.000	352.000	128.000	22.51	R
24	Spectrogram 1	1	681.216358450	681.998322540	2972.154	1207.438	681.2762	0.0612	681.9428	0.9388	0.6666	0.7820	1248.000	2816.000	1568.000	1568.000	11.92	S
25	Spectrogram 1	1	682.233982951	683.315878474	1226.014	278.639	682.3304	0.0870	683.2296	0.9275	0.8992	1.0819	352.000	1056.000	512.000	704.000	19.89	J
26	Spectrogram 1	1	683.455132353	683.862182154	2266.268	1560.381	683.5086	0.1200	683.7877	0.8400	0.2791	0.4070	1568.000	2176.000	2080.000	608.000	13.78	SS
27	Spectrogram 1	1	684.464719858	685.771563955	501.551	260.063	684.6403	0.1325	685.6635	0.9277	1.0232	1.3068	320.000	448.000	384.000	128.000	20.56	R
28	Spectrogram 1	1	684.893193333	685.246683949	2935.002	1226.014	684.9194	0.0455	685.2294	0.9545	0.3101	0.3535	1312.000	2816.000	1344.000	1504.000	11.50	S
29	Spectrogram 1	1	685.557327218	686.596375393	1207.438	315.791	685.5860	0.0152	686.4697	0.8788	0.8837	1.0390	384.000	928.000	512.000	544.000	19.24	J
30	Spectrogram 1	1	686.607087230	687.056984378	1857.596	1133.134	686.6247	0.0357	687.0278	0.9643	0.4031	0.4499	1152.000	1792.000	1152.000	640.000	12.21	SS
31	Spectrogram 1	1	687.049486394	688.570567227	538.703	204.336	687.2603	0.1340	688.5471	0.9897	1.2867	1.5211	320.000	480.000	352.000	160.000	19.63	R
32	Spectrogram 1	1	687.399763158	688.249212122	3176.490	1244.590	687.4464	0.0556	688.2215	0.9815	0.7751	0.8494	1312.000	3040.000	1376.000	1728.000	13.30	S
33	Spectrogram 1	1	688.549143554	690.113071735	1263.166	315.791	688.5781	0.0100	689.8958	0.8600	1.3177	1.5639	352.000	896.000	384.000	544.000	18.08	J
34	Spectrogram 1	1	691.173543584	693.005267687	538.703	241.488	691.5236	0.1880	692.9034	0.9487	1.3798	1.8317	288.000	480.000	384.000	192.000	17.41	R
35	Spectrogram 1	1	691.269950116	692.587506049	3120.762	1263.166	691.3531	0.0595	692.5468	0.9762	1.1937	1.3176	1344.000	3008.000	1376.000	1664.000	12.25	S
36	Spectrogram 1	1	693.273063608	694.012180352	1095.982	408.671	693.5080	0.3191	693.9266	0.8936	0.4186	0.7391	480.000	992.000	736.000	512.000	15.52	J
37	Spectrogram 1	1	695.578783374	696.746373591	520.127	185.760	695.7094	0.1081	696.6861	0.9595	0.9767	1.1676	288.000	480.000	416.000	192.000	24.62	R
38	Spectrogram 1	1	695.610918884	696.414306648	3083.610	1226.014	695.6784	0.0784	696.3450	0.9216	0.6666	0.8034	1312.000	2976.000	1376.000	1664.000	12.37	S
39	Spectrogram 1	1	696.660678896	698.224607078	1077.406	352.943	696.7326	0.0400	697.9263	0.8100	1.1937	1.5639	448.000	896.000	480.000	448.000	23.35	J
40	Spectrogram 1	1	699.220807905	700.399109960	594.431	222.912	699.4146	0.1600	700.3293	0.9467	0.9147	1.1783	320.000	512.000	416.000	192.000	22.40	R
41	Spectrogram 1	1	699.499315664	700.174161386	3250.794	1263.166	699.5541	0.0714	700.1277	0.9524	0.5736	0.6748	1312.000	3040.000	1504.000	1728.000	12.77	S
42	Spectrogram 1	1	700.345550776	701.663106709	1114.558	352.943	700.5618	0.1548	701.5385	0.9048	0.9767	1.3176	416.000	864.000	512.000	448.000	23.19	J
43	Spectrogram 1	1	702.990299976	704.190025704	575.855	260.063	703.1663	0.1429	704.1585	0.9740	0.9922	1.1997	320.000	448.000	416.000	128.000	21.06	R
44	Spectrogram 1	1	704.115042846	705.411175106	928.798	278.639	704.1895	0.0488	705.2747	0.9024	1.0852	1.2961	288.000	832.000	512.000	544.000	21.30	J
45	Spectrogram 1	1	710.757283710	711.957009438	4687.644	273.067	710.8093	0.0390	711.9255	0.9740	1.1162	1.1997	320.000	2368.000	512.000	2048.000	14.38	break
