Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	30.714575522	32.771248199	3428.504	2063.170	31.0156	0.1450	32.4531	0.8473	1.4375	2.0567	2176.000	3232.000	2624.000	1056.000	12.19	SW
2	Spectrogram 1	1	33.285416368	35.663444151	3079.585	1319.822	33.5156	0.0927	35.6093	0.9801	2.0938	2.3780	1440.000	3008.000	2912.000	1568.000	11.78	S
3	Spectrogram 1	1	36.091917625	38.277132344	3747.081	1608.059	36.3750	0.1295	37.9687	0.8633	1.5938	2.1852	1696.000	3392.000	2016.000	1696.000	14.19	WH
4	Spectrogram 1	1	39.048384598	41.490683402	3067.786	1304.652	39.0937	0.0129	41.2187	0.8903	2.1250	2.4423	1408.000	2976.000	2880.000	1568.000	12.32	S
5	Spectrogram 1	1	42.283359329	43.932982206	3084.642	1380.504	42.4375	0.0865	43.7968	0.9231	1.3594	1.6496	1440.000	3008.000	2976.000	1568.000	13.33	S
6	Spectrogram 1	1	42.464924447	43.986005281	404.543	219.128	42.5312	0.0412	43.8593	0.9175	1.3281	1.5211	256.000	384.000	288.000	128.000	14.92	R
7	Spectrogram 1	1	44.297184659	46.161044272	3716.741	1028.214	44.4687	0.0847	46.0468	0.9407	1.5781	1.8639	1216.000	3136.000	1760.000	1920.000	14.39	WH
8	Spectrogram 1	1	46.823030176	48.794008158	424.770	227.556	47.0000	0.0880	48.6718	0.9440	1.6719	1.9710	256.000	416.000	352.000	160.000	13.36	R
9	Spectrogram 1	1	47.080114260	48.836855505	3152.066	1365.333	47.2187	0.0721	48.6562	0.9009	1.4375	1.7567	1408.000	3008.000	1440.000	1600.000	13.87	S
10	Spectrogram 1	1	49.051092242	49.736649801	2865.514	940.563	49.1718	0.1628	49.6406	0.8605	0.4688	0.6856	992.000	2560.000	2080.000	1568.000	14.15	SW
