Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	0.045446475	1.156878381	591.644	288.237	0.0937	0.0423	0.9843	0.8451	0.8906	1.1114	352.000	512.000	480.000	160.000	21.44	R
2	Spectrogram 1	1	0.075744125	0.664133885	1608.059	1380.504	0.1093	0.0541	0.5000	0.7297	0.3906	0.5884	1472.000	1568.000	1536.000	96.000	20.62	SS
3	Spectrogram 1	1	0.899794296	2.570840846	1016.415	424.770	1.1250	0.1321	2.2343	0.8019	1.1094	1.6710	512.000	928.000	576.000	416.000	24.65	J
4	Spectrogram 1	1	1.799588592	2.742230236	3104.143	1506.152	1.8906	0.0847	2.6875	0.9492	0.7969	0.9426	1600.000	3008.000	2848.000	1408.000	12.94	SS
5	Spectrogram 1	1	3.492058816	5.241493437	576.474	242.726	3.7343	0.1351	5.1718	0.9640	1.4375	1.7494	352.000	544.000	480.000	192.000	22.96	R
6	Spectrogram 1	1	3.787206241	4.665838089	3049.040	1365.333	3.9375	0.1636	4.5625	0.8909	0.6250	0.8786	1440.000	2944.000	1504.000	1504.000	15.45	S
7	Spectrogram 1	1	4.877921638	6.938161833	1001.244	409.600	5.1093	0.1069	6.5937	0.8321	1.4844	2.0602	448.000	832.000	576.000	384.000	25.60	J
8	Spectrogram 1	1	6.234289052	7.176930695	3067.408	1451.049	6.2656	0.0333	7.1093	0.9333	0.8438	0.9426	1504.000	3008.000	2976.000	1504.000	12.84	SW
9	Spectrogram 1	1	7.816793681	9.452866777	546.133	273.067	8.0468	0.1359	9.2812	0.9029	1.2344	1.6361	352.000	512.000	384.000	160.000	19.42	R
10	Spectrogram 1	1	8.028877230	8.756020829	2938.834	1304.652	8.1406	0.1522	8.7031	0.9348	0.5625	0.7271	1408.000	2880.000	1440.000	1472.000	12.84	SS
11	Spectrogram 1	1	8.907509078	10.816261024	1016.415	379.259	9.1875	0.1405	10.5781	0.8760	1.3906	1.9088	416.000	864.000	544.000	448.000	24.22	J
12	Spectrogram 1	1	10.047702973	11.097462985	2975.570	1322.475	10.1875	0.1212	11.0468	0.9545	0.8594	1.0498	1376.000	2912.000	1376.000	1536.000	13.22	SS
13	Spectrogram 1	1	11.876678771	13.512751867	530.963	273.067	11.9843	0.0583	13.3437	0.9029	1.3594	1.6361	352.000	480.000	416.000	128.000	18.80	R
14	Spectrogram 1	1	12.088762321	12.785608269	3067.408	1334.993	12.2031	0.1591	12.7343	0.9318	0.5312	0.6968	1408.000	2944.000	1472.000	1536.000	14.59	SS
15	Spectrogram 1	1	12.846203569	15.148824963	1046.756	333.748	13.1250	0.1164	14.7656	0.8356	1.6406	2.3026	416.000	928.000	544.000	512.000	22.62	J
