Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	690.139797842	690.182645189	5348.790	799.653	690.1406	0.0000	690.1718	1.0000	0.0312	0.0428	832.000	4096.000	832.000	3264.000	14.61	break
2	Spectrogram 1	1	698.686863023	701.065228542	4424.251	789.590	698.8437	0.0658	700.7968	0.8882	1.9531	2.3784	928.000	3456.000	992.000	2528.000	14.90	WH
461	Spectrogram 1	1	701.352408018	705.373789433	4874.368	4721.246	701.8125	0.1133	705.0937	0.9336	3.2812	4.0214	4736.000	4864.000	4832.000	128.000	11.48	P
3	Spectrogram 1	1	701.531169351	703.245827410	3436.475	1168.119	701.7031	0.1009	703.1718	0.9633	1.4688	1.7147	1280.000	3200.000	1504.000	1920.000	12.75	S
4	Spectrogram 1	1	701.770910936	703.163449728	302.091	159.931	701.9062	0.0909	703.0625	0.9318	1.1562	1.3925	160.000	288.000	288.000	128.000	10.77	R
5	Spectrogram 1	1	703.673536723	705.344583272	3376.312	868.549	703.9218	0.1415	705.1406	0.8774	1.2188	1.6710	992.000	3072.000	1920.000	2080.000	14.07	SW
6	Spectrogram 1	1	705.558820010	707.615492686	424.770	197.215	705.7812	0.1069	707.5156	0.9542	1.7344	2.0567	224.000	416.000	352.000	192.000	12.95	R
462	Spectrogram 1	1	705.817868362	708.975762971	4236.361	4134.280	706.0781	0.0796	708.6093	0.8856	2.5312	3.1579	4160.000	4224.000	4224.000	64.000	13.33	P
7	Spectrogram 1	1	706.094411853	707.766222564	2933.153	1198.459	706.2031	0.0566	707.5468	0.8679	1.3438	1.6718	1312.000	2848.000	2816.000	1536.000	12.57	S
8	Spectrogram 1	1	708.151848691	708.858829924	2985.371	1204.125	708.2343	0.1136	708.7968	0.9318	0.5625	0.7070	1344.000	2912.000	2752.000	1568.000	14.74	SW
9	Spectrogram 1	1	709.200844360	710.914738257	439.941	212.385	709.4531	0.1468	710.7500	0.9083	1.2969	1.7139	224.000	384.000	256.000	160.000	15.21	R
463	Spectrogram 1	1	709.666552416	712.676420715	4159.801	4032.199	709.8750	0.0677	712.5000	0.9427	2.6250	3.0099	4064.000	4128.000	4064.000	64.000	11.30	P
10	Spectrogram 1	1	709.693588855	710.936161931	3465.163	1426.015	709.7968	0.0769	710.8125	0.9103	1.0156	1.2426	1440.000	3328.000	1472.000	1888.000	13.94	S
11	Spectrogram 1	1	711.002316664	712.480550151	1144.906	256.617	711.2031	0.1290	712.3750	0.9355	1.1719	1.4782	320.000	992.000	352.000	672.000	18.04	J
12	Spectrogram 1	1	712.221582354	713.318750051	2914.291	927.769	712.3437	0.1014	713.1875	0.8841	0.8438	1.0972	992.000	2816.000	1952.000	1824.000	13.91	SW
13	Spectrogram 1	1	713.656968493	715.220896674	394.430	197.215	713.8906	0.1414	715.1250	0.9394	1.2344	1.5639	224.000	352.000	288.000	128.000	15.64	R
14	Spectrogram 1	1	713.849781556	715.220896674	3234.152	1365.333	714.0781	0.1609	715.1406	0.9425	1.0625	1.3711	1408.000	3040.000	1472.000	1632.000	13.81	S
464	Spectrogram 1	1	714.432198257	717.774291357	4938.606	4704.549	714.5625	0.0376	717.6406	0.9624	3.0781	3.3421	4736.000	4928.000	4736.000	192.000	14.60	P
15	Spectrogram 1	1	715.209979114	716.551048157	908.029	217.137	715.3125	0.0706	716.4375	0.9176	1.1250	1.3411	288.000	736.000	416.000	448.000	17.35	J
16	Spectrogram 1	1	716.206385665	718.113092626	3822.933	1365.333	716.4218	0.1074	717.7968	0.8347	1.3750	1.9067	1440.000	3360.000	2432.000	1920.000	15.97	SW
17	Spectrogram 1	1	718.884344880	720.571199712	4224.308	1304.652	719.0312	0.0841	720.3125	0.8505	1.2812	1.6869	1344.000	4128.000	1440.000	2784.000	14.21	S
18	Spectrogram 1	1	718.959327738	720.673221635	318.578	166.874	719.1250	0.0917	720.5468	0.9266	1.4219	1.7139	192.000	288.000	192.000	96.000	11.45	R
465	Spectrogram 1	1	719.338219538	722.273262838	5476.937	5266.286	719.3906	0.0160	721.8281	0.8503	2.4375	2.9350	5280.000	5472.000	5472.000	192.000	12.70	P
19	Spectrogram 1	1	720.705357146	722.563601368	4500.665	1395.674	720.9062	0.1017	722.4062	0.9153	1.5000	1.8582	1568.000	3904.000	2112.000	2336.000	14.73	SW
20	Spectrogram 1	1	722.954842886	724.647313110	394.430	151.704	723.0781	0.0654	724.5312	0.9346	1.4531	1.6925	192.000	384.000	288.000	192.000	13.14	R
21	Spectrogram 1	1	723.147655950	724.877358079	4441.446	1122.607	723.4218	0.1545	724.7656	0.9364	1.3438	1.7297	1216.000	4032.000	1504.000	2816.000	15.15	S
466	Spectrogram 1	1	723.880038366	726.857929013	5359.909	5125.851	723.9218	0.0106	726.7187	0.9577	2.7969	2.9779	5152.000	5344.000	5280.000	192.000	13.33	P
