Selection,View,Channel,BeginTime_s_,EndTime_s_,HighFreq_Hz_,LowFreq_Hz_,Time5__s_,Time5_Rel_,Time95__s_,Time95_Rel_,Dur90__s_,DeltaTime_s_,Freq5__Hz_,Freq95__Hz_,PeakFreq_Hz_,BW90__Hz_,SNRNISTQuick_dB_,QualName,StartFreqHz,EndFreqHz,Source,Inflections,Rendition,CompleteRendition
5,Spectrogram 1,1,17.34640315,18.18621103,530.963,326.163,17.4687,0.12,18.1249,0.96,0.6562,0.8398,336,464,400,128,21.67,D,448,424,Dec03_2011_1500,1,5,N
6,Spectrogram 1,1,20.14004975,21.08269124,530.963,303.407,20.2187,0.069,20.9062,0.8276,0.6875,0.9426,304,496,400,192,24.33,D,476,372,Dec03_2011_1500,1,5,N
7,Spectrogram 1,1,22.19672209,23.31075294,515.793,144.119,22.3437,0.1176,23.0624,0.7941,0.7188,1.114,176,416,192,240,20.9,D,248,472,Dec03_2011_1500,1,5,N
8,Spectrogram 1,1,24.13342188,25.29886954,515.793,159.289,24.2499,0.0833,25.0312,0.7778,0.7812,1.1654,176,448,272,272,21.66,D,264,448,Dec03_2011_1500,1,5,N
10,Spectrogram 1,1,45.23437698,45.97135124,720.593,576.474,45.4374,0.2609,45.9062,0.913,0.4688,0.737,624,672,640,48,21.45,B,624,644,Dec03_2011_1500,0,6,Y
11,Spectrogram 1,1,46.31412996,47.47957762,584.059,417.185,46.3749,0.0278,47.1562,0.7222,0.7812,1.1654,448,512,496,64,19.3,C,484,520,Dec03_2011_1500,0,6,Y
12,Spectrogram 1,1,48.60880156,49.52984997,748.308,630.154,48.7812,0.1786,49.4999,1,0.7188,0.921,656,720,704,64,17.91,B,660,684,Dec03_2011_1500,0,6,Y
13,Spectrogram 1,1,49.84494548,50.83870823,502.154,374.154,50.1249,0.2667,50.5312,0.7,0.4062,0.9938,432,496,480,64,25.81,C,464,476,Dec03_2011_1500,0,6,Y
14,Spectrogram 1,1,52.97166244,53.72304404,787.692,571.077,53.1249,0.1739,53.7187,1,0.5938,0.7514,576,704,640,128,25.73,B,592,688,Dec03_2011_1500,0,6,Y
15,Spectrogram 1,1,53.91694896,55.39547404,561.231,443.077,54.1562,0.1522,54.9999,0.7391,0.8438,1.4785,480,544,512,64,19.76,C,516,552,Dec03_2011_1500,0,6,Y
16,Spectrogram 1,1,56.40961654,58.34631633,2548.622,1334.993,56.4687,0.0164,58.1874,0.918,1.7188,1.9367,1376,2432,1488,1056,12.2,E1,1500,1520,Dec03_2011_1500,2,6,Y
17,Spectrogram 1,1,59.16898527,62.04832655,2996.148,1441.185,59.3437,0.0549,61.7187,0.8901,2.375,2.8793,1488,2944,1728,1456,11.96,E1,1616,2244,Dec03_2011_1500,2,6,Y
18,Spectrogram 1,1,63.24805208,65.80175357,3163.022,1410.844,63.3749,0.0494,65.4999,0.8889,2.125,2.5537,1488,3072,1744,1584,11.59,E1,1732,2528,Dec03_2011_1500,2,6,Y
19,Spectrogram 1,1,66.79242971,71.08257625,3150.769,1063.385,67.1249,0.0735,70.7187,0.9191,3.5938,4.2901,1296,3056,1504,1760,12.59,E2,1316,1524,Dec03_2011_1500,4,6,Y
20,Spectrogram 1,1,72.00362465,74.40319814,3209.846,1368.615,72.1562,0.0533,74.1562,0.9067,2,2.3996,1488,3168,3008,1680,13.95,E1,1524,2748,Dec03_2011_1500,2,6,Y
21,Spectrogram 1,1,75.2515322,79.08115452,3209.846,1211.077,75.4999,0.0579,78.6874,0.9008,3.1875,3.8296,1392,3152,3008,1760,12.62,E2,1284,2824,Dec03_2011_1500,4,6,Y
22,Spectrogram 1,1,79.88446927,83.27780551,3081.846,1260.308,80.0937,0.0561,82.9999,0.9252,2.9062,3.3933,1376,3024,1504,1648,13.69,E2,1308,2908,Dec03_2011_1500,4,6,Y
23,Spectrogram 1,1,84.24733015,88.94952465,3111.385,1280,84.4062,0.0333,88.5937,0.9267,4.1875,4.7022,1360,3072,1472,1712,13.13,E3,1480,2964,Dec03_2011_1500,6,6,Y
24,Spectrogram 1,1,89.87287738,92.53907014,3062.154,1289.846,90.0624,0.0706,92.2187,0.8824,2.1562,2.6662,1360,3040,1440,1680,13.82,E1,1440,1732,Dec03_2011_1500,2,6,Y
25,Spectrogram 1,1,93.07230869,98.16231305,3190.154,974.769,93.5312,0.0864,97.8437,0.9383,4.3125,5.09,1120,3056,3008,1936,13.22,E3,1732,2772,Dec03_2011_1500,6,6,Y
26,Spectrogram 1,1,99.15607581,102.5251739,3249.231,1437.538,99.2499,0.028,102.1874,0.9065,2.9375,3.3691,1456,3184,1472,1728,13.34,E2,1480,3008,Dec03_2011_1500,4,6,Y
27,Spectrogram 1,1,103.6706964,108.0068472,3026.489,1418.43,103.8437,0.0362,107.7812,0.9493,3.9375,4.3362,1472,3008,2992,1536,13.33,E3,1460,2772,Dec03_2011_1500,6,6,Y
28,Spectrogram 1,1,109.0149938,112.0657244,3026.489,1236.385,109.1874,0.0515,111.7499,0.8969,2.5625,3.0507,1328,2976,1424,1648,14.08,E2,1340,2900,Dec03_2011_1500,4,6,Y
29,Spectrogram 1,1,113.4197004,116.6760983,1206.044,364.089,113.7187,0.0874,116.1562,0.8447,2.4375,3.2564,416,992,704,576,23.62,A,772,384,Dec03_2011_1500,1,6,Y
30,Spectrogram 1,1,119.2692905,120.1605152,758.519,606.815,119.6249,0.3929,120.0624,0.8929,0.4375,0.8912,656,720,704,64,27.44,B,632,692,Dec03_2011_1500,0,6,Y
31,Spectrogram 1,1,120.5032939,121.3431018,530.963,447.526,120.6874,0.2,121.2499,0.92,0.5625,0.8398,464,512,480,48,25.5,C,496,488,Dec03_2011_1500,0,6,Y
32,Spectrogram 1,1,122.6799388,123.2455237,781.274,599.23,122.8124,0.2353,123.1874,0.9412,0.375,0.5656,656,736,704,80,20.07,B,632,692,Dec03_2011_1500,0,6,Y
33,Spectrogram 1,1,123.5711635,124.496666,485.452,326.163,123.7812,0.2143,124.3749,0.8929,0.5938,0.9255,336,480,352,144,21.5,C,464,464,Dec03_2011_1500,0,6,Y
34,Spectrogram 1,1,125.4735854,126.1934207,750.933,644.741,125.5937,0.1364,125.9999,0.7273,0.4062,0.7198,688,720,704,32,30.53,B,696,716,Dec03_2011_1500,0,6,Y
35,Spectrogram 1,1,126.6218941,127.5473967,523.378,310.993,126.6562,0.0345,127.4062,0.8621,0.75,0.9255,336,480,448,144,22.28,C,416,464,Dec03_2011_1500,0,6,Y
36,Spectrogram 1,1,129.0042063,129.878292,470.281,250.311,129.0937,0.0741,129.7499,0.8519,0.6562,0.8741,256,432,272,176,25.03,D,396,376,Dec03_2011_1500,1,6,Y
37,Spectrogram 1,1,130.9066282,131.9006865,485.452,121.363,131.1874,0.2667,131.7812,0.9,0.5938,0.9941,176,432,176,256,24.83,D,260,460,Dec03_2011_1500,1,6,Y
38,Spectrogram 1,1,132.9461616,134.0259146,508.207,144.119,133.0312,0.0606,133.8437,0.8485,0.8125,1.0798,160,448,176,288,20.54,D,212,432,Dec03_2011_1500,1,6,Y
39,Spectrogram 1,1,134.8828614,135.9111976,508.207,121.363,134.9374,0.0312,135.5937,0.6875,0.6562,1.0283,144,464,176,320,19.01,D,176,376,Dec03_2011_1500,1,6,Y
41,Spectrogram 1,1,140.7443776,141.429935,713.007,599.23,140.9062,0.2381,141.3437,0.9048,0.4375,0.6856,608,688,656,80,26.74,B,632,652,Dec03_2011_1500,0,7,Y
42,Spectrogram 1,1,141.8755474,142.6125216,553.719,447.526,141.9687,0.0909,142.4999,0.8636,0.5312,0.737,480,512,496,32,26.72,C,484,504,Dec03_2011_1500,0,7,Y
43,Spectrogram 1,1,144.6349161,145.0805284,804.03,637.156,144.7812,0.3077,144.9999,0.8462,0.2188,0.4456,672,768,688,96,26,B,676,704,Dec03_2011_1500,0,7,Y
44,Spectrogram 1,1,146.02317,147.1886176,561.304,303.407,146.0937,0.0541,146.9999,0.8378,0.9062,1.1654,320,512,368,192,23.2,C,372,528,Dec03_2011_1500,0,7,Y
45,Spectrogram 1,1,148.2512317,151.8846861,2920.296,1198.459,148.2812,0,151.4687,0.887,3.1875,3.6335,1248,2864,1264,1616,12.48,E2,1256,2676,Dec03_2011_1500,4,7,Y
46,Spectrogram 1,1,152.6559383,156.3579485,2927.881,1046.756,152.8749,0.0593,155.3437,0.7288,2.4688,3.702,1184,2752,1408,1568,12.76,E2,1388,2796,Dec03_2011_1500,4,7,Y
47,Spectrogram 1,1,157.1463395,160.8312108,3094.756,970.904,157.4062,0.0684,159.7812,0.7179,2.375,3.6849,1376,2784,1408,1408,12.48,E2,1368,2792,Dec03_2011_1500,4,7,Y
48,Spectrogram 1,1,161.602463,166.0585864,3178.193,1137.778,161.8437,0.0496,165.3437,0.844,3.5,4.4561,1392,3120,1424,1728,12.57,E2,1276,3048,Dec03_2011_1500,4,7,Y
49,Spectrogram 1,1,166.8298385,170.5832656,3125.096,1304.652,166.9999,0.042,170.1562,0.8908,3.1562,3.7534,1360,3088,1392,1728,13.14,E2,1548,3080,Dec03_2011_1500,4,7,Y
50,Spectrogram 1,1,171.5773239,175.1593615,3079.585,1266.726,171.6562,0.0175,174.9062,0.9298,3.25,3.582,1392,2992,1840,1600,13.98,E2,1396,2768,Dec03_2011_1500,4,7,Y
51,Spectrogram 1,1,176.1705588,181.0894335,2965.807,1122.607,176.3749,0.0385,179.9374,0.7692,3.5625,4.9189,1328,2800,1392,1472,13.96,E3,1384,2916,Dec03_2011_1500,6,7,Y
52,Spectrogram 1,1,181.8092688,186.2653922,3011.319,1016.415,182.1562,0.0775,185.5937,0.8521,3.4375,4.4561,1344,2880,2032,1536,13.7,E3,1156,2884,Dec03_2011_1500,6,7,Y
53,Spectrogram 1,1,187.1566169,190.4644316,1107.437,303.407,187.5312,0.1058,190.1249,0.9038,2.5938,3.3078,320,928,464,608,22.31,A,784,336,Dec03_2011_1500,1,7,Y
54,Spectrogram 1,1,195.0576665,195.5032788,781.274,629.57,195.0937,0.0714,195.4374,0.8571,0.3438,0.4456,672,736,688,64,31.76,B,676,736,Dec03_2011_1500,0,7,Y
55,Spectrogram 1,1,195.9660301,197.7142016,584.059,310.993,196.4687,0.2909,197.6249,0.9636,1.1562,1.7482,336,544,352,208,18.63,C,512,360,Dec03_2011_1500,0,7,Y
56,Spectrogram 1,1,198.3654812,198.7596767,773.689,652.326,198.4062,0.0833,198.6562,0.75,0.25,0.3942,672,720,688,48,36.76,B,688,692,Dec03_2011_1500,0,7,Y
57,Spectrogram 1,1,199.3424005,200.3364588,515.793,348.919,199.4687,0.129,200.2187,0.9032,0.75,0.9941,368,480,432,112,25.22,C,472,436,Dec03_2011_1500,0,7,Y
58,Spectrogram 1,1,202.1531861,203.3014948,538.548,242.726,202.2812,0.1111,203.1562,0.8889,0.875,1.1483,256,480,272,224,25.67,D,452,452,Dec03_2011_1500,1,7,Y
59,Spectrogram 1,1,204.312692,204.6211929,735.763,629.57,204.4062,0.25,204.5624,0.875,0.1562,0.3085,656,704,672,48,21.64,B,672,672,Dec03_2011_1500,0,7,Y
60,Spectrogram 1,1,205.0325274,206.1294193,538.548,242.726,205.1562,0.0882,205.9062,0.7941,0.75,1.0969,272,464,288,192,23.67,D,448,496,Dec03_2011_1500,1,7,Y
61,Spectrogram 1,1,206.9970316,207.9180801,452.923,147.692,207.1562,0.1724,207.8437,0.931,0.6875,0.921,176,352,208,176,27.51,D,284,280,Dec03_2011_1500,1,7,Y
62,Spectrogram 1,1,208.960319,209.9783199,492.308,137.846,209.2499,0.2812,209.8437,0.875,0.5938,1.018,160,368,176,208,23.18,D,264,312,Dec03_2011_1500,1,7,Y
63,Spectrogram 1,1,210.9720827,211.8931311,492.308,137.846,211.1249,0.1429,211.7812,0.8929,0.6562,0.921,160,352,160,192,27.06,D,212,264,Dec03_2011_1500,1,7,Y
65,Spectrogram 1,1,225.0829873,225.7374164,738.462,561.231,225.2499,0.25,225.7187,1,0.4688,0.6544,608,704,656,96,22.22,B,688,660,Dec03_2011_1500,0,8,Y
66,Spectrogram 1,1,226.1252262,227.0220365,502.154,344.615,226.2499,0.1111,226.9687,0.963,0.7188,0.8968,384,480,448,96,23.94,C,416,464,Dec03_2011_1500,0,8,Y
67,Spectrogram 1,1,229.6397531,230.4153728,738.462,561.231,229.8749,0.2917,230.2812,0.8333,0.4062,0.7756,624,704,688,80,28.54,B,608,696,Dec03_2011_1500,0,8,Y
68,Spectrogram 1,1,230.7062302,231.5303261,531.692,452.923,230.9062,0.24,231.4062,0.88,0.5,0.8241,480,512,496,32,20,C,496,504,Dec03_2011_1500,0,8,Y
69,Spectrogram 1,1,233.2754705,234.0753283,768,659.692,233.4062,0.16,233.9374,0.84,0.5312,0.7999,720,768,736,48,21.67,B,744,728,Dec03_2011_1500,0,8,Y
70,Spectrogram 1,1,234.538589,235.5323518,502.154,305.231,234.6562,0.0968,235.4062,0.871,0.75,0.9938,320,448,336,128,27.64,C,336,440,Dec03_2011_1500,0,8,Y
71,Spectrogram 1,1,239.0966512,242.8293211,2983.385,1142.154,239.2499,0.0339,242.3437,0.8729,3.0938,3.7327,1312,2800,2112,1488,12.77,E2,1328,2792,Dec03_2011_1500,4,8,Y
72,Spectrogram 1,1,243.4595121,247.0709914,2983.385,1132.308,243.7499,0.0783,246.8437,0.9391,3.0938,3.6115,1312,2928,1408,1616,13.12,E2,1184,2768,Dec03_2011_1500,4,8,Y
73,Spectrogram 1,1,248.1374685,253.0820442,3042.462,1289.846,248.3124,0.0318,252.2812,0.8408,3.9688,4.9446,1344,2976,2768,1632,12.6,E3,1400,2892,Dec03_2011_1500,6,8,Y
74,Spectrogram 1,1,253.9061401,257.0813333,3072,1339.077,254.1249,0.0693,256.6249,0.8614,2.5,3.1752,1440,2944,2768,1504,13.01,E2,1472,2908,Dec03_2011_1500,4,8,Y
75,Spectrogram 1,1,257.7647535,262.8547579,3052.308,1270.154,258.0624,0.0556,262.3437,0.9012,4.2812,5.09,1376,2928,1392,1552,13.14,E3,1312,2968,Dec03_2011_1500,6,8,Y
76,Spectrogram 1,1,263.8000444,267.6296668,2993.231,1270.154,263.8749,0.0164,267.2812,0.9098,3.4062,3.8296,1328,2848,1344,1520,13.48,E2,1376,2672,Dec03_2011_1500,4,8,Y
77,Spectrogram 1,1,268.5264771,273.2771478,3012.923,1358.769,268.8437,0.0662,272.4374,0.8278,3.5938,4.7507,1440,2944,2736,1504,13.54,E2,1448,2904,Dec03_2011_1500,4,8,Y
78,Spectrogram 1,1,274.3714637,279.0494201,3022.769,1270.154,274.6249,0.0537,278.5624,0.8993,3.9375,4.678,1424,2944,1440,1520,13.1,E3,1320,2968,Dec03_2011_1500,6,8,Y
79,Spectrogram 1,1,279.8008017,281.9337559,3042.462,1240.615,280.0312,0.1045,281.6562,0.8806,1.625,2.133,1360,2960,1584,1600,13.4,E1,1328,1300,Dec03_2011_1500,2,8,Y
80,Spectrogram 1,1,286.8073452,287.9950129,610.462,315.077,286.9374,0.1081,287.7187,0.7838,0.7812,1.1877,336,480,352,144,26.28,D,428,568,Dec03_2011_1500,1,8,Y
