Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	3.853860443	6.762434363	2973.393	1145.363	4.0624	0.0652	6.4687	0.9022	2.4062	2.9086	1184.000	2944.000	2752.000	1760.000	13.63	M
2	Spectrogram 1	1	7.610768423	11.488866982	3026.489	1312.237	7.7812	0.0407	11.2499	0.9431	3.4688	3.8781	1360.000	2960.000	2832.000	1600.000	12.80	M2
3	Spectrogram 1	1	12.921220147	15.029936238	2958.222	1471.526	13.0312	0.0455	14.9062	0.9545	1.8750	2.1087	1536.000	2912.000	2848.000	1376.000	13.34	M
4	Spectrogram 1	1	16.047937110	18.689891754	2973.393	1092.267	16.2499	0.0714	18.4687	0.9167	2.2188	2.6420	1200.000	2928.000	2848.000	1728.000	13.09	M
5	Spectrogram 1	1	19.829083205	24.846373217	3018.904	1509.452	20.4687	0.1250	24.5624	0.9437	4.0938	5.0173	1552.000	2928.000	2864.000	1376.000	12.92	M3
6	Spectrogram 1	1	26.252183944	29.281948444	3049.244	1463.941	26.4999	0.0729	28.9999	0.9062	2.5000	3.0298	1520.000	3024.000	3024.000	1504.000	12.78	M2
7	Spectrogram 1	1	30.836500128	33.938978976	2935.467	1494.281	31.0937	0.0808	33.7499	0.9394	2.6562	3.1025	1536.000	2896.000	2656.000	1360.000	12.06	M2
8	Spectrogram 1	1	34.181360135	38.932030871	1190.874	265.481	34.7187	0.1126	38.5937	0.9338	3.8750	4.7507	304.000	928.000	496.000	624.000	20.63	A
9	Spectrogram 1	1	41.355842470	42.470795806	811.615	568.889	41.4687	0.0857	42.2499	0.8000	0.7812	1.1150	624.000	800.000	704.000	176.000	19.85	B
10	Spectrogram 1	1	42.640462618	43.440320446	508.207	295.822	42.7812	0.1600	43.4374	1.0000	0.6562	0.7999	304.000	464.000	320.000	160.000	19.67	C
11	Spectrogram 1	1	44.846131174	46.082275090	379.259	121.363	45.1249	0.2105	45.8749	0.8421	0.7500	1.2361	144.000	320.000	272.000	176.000	20.56	D
12	Spectrogram 1	1	47.245704632	48.021324344	402.015	121.363	47.3749	0.1667	47.9687	0.9583	0.5938	0.7756	144.000	352.000	144.000	208.000	23.09	D
13	Spectrogram 1	1	58.691569373	58.691569373	3610.548	546.133	58.6874	NaN	58.6874	NaN	0.0000	0.0000	640.000	3040.000	720.000	2400.000	11.43	break
14	Spectrogram 1	1	119.638003298	121.698243158	2669.985	1403.259	119.7499	0.0462	121.5624	0.9385	1.8125	2.0602	1456.000	2608.000	1536.000	1152.000	12.09	M
15	Spectrogram 1	1	122.764720261	126.351961429	3018.904	1410.844	122.8749	0.0263	126.0624	0.9211	3.1875	3.5872	1488.000	2944.000	1600.000	1456.000	11.66	M2
16	Spectrogram 1	1	127.394200417	130.932965352	2958.222	1494.281	127.5624	0.0446	130.5937	0.9107	3.0312	3.5388	1520.000	2912.000	1520.000	1392.000	12.06	M2
17	Spectrogram 1	1	132.217585475	136.362303310	2973.393	1342.578	132.3437	0.0303	136.1562	0.9545	3.8125	4.1447	1376.000	2848.000	1392.000	1472.000	12.13	M2
18	Spectrogram 1	1	137.574209110	141.573498249	2882.370	1152.948	137.8749	0.0709	141.2499	0.9213	3.3750	3.9993	1328.000	2848.000	2816.000	1520.000	12.36	M2
19	Spectrogram 1	1	142.543022889	146.348407101	2859.615	1228.800	142.7499	0.0496	146.0937	0.9339	3.3438	3.8054	1360.000	2784.000	2768.000	1424.000	11.64	M2
20	Spectrogram 1	1	147.414884204	151.292982764	2859.615	1183.289	147.5937	0.0407	150.8437	0.8862	3.2500	3.8781	1360.000	2832.000	1760.000	1472.000	12.13	M2
21	Spectrogram 1	1	151.923173780	155.607367411	2920.296	1001.244	152.1874	0.0684	155.4062	0.9487	3.2188	3.6842	1072.000	2832.000	1520.000	1760.000	12.05	M2
22	Spectrogram 1	1	156.455701446	160.285323773	3072.000	1380.504	156.6249	0.0410	159.9062	0.9016	3.2812	3.8296	1504.000	3040.000	1776.000	1536.000	11.46	M2
23	Spectrogram 1	1	161.182134065	163.727136245	2973.393	1266.726	161.3124	0.0494	163.5624	0.9383	2.2500	2.5450	1328.000	2896.000	1344.000	1568.000	12.01	M
24	Spectrogram 1	1	164.454279725	168.986807416	2965.807	1122.607	164.6249	0.0347	168.4999	0.8958	3.8750	4.5325	1200.000	2816.000	1216.000	1616.000	11.81	M2
25	Spectrogram 1	1	170.344141912	173.834430615	2920.296	1039.170	170.5312	0.0455	173.2499	0.8364	2.7188	3.4903	1120.000	2608.000	1696.000	1488.000	12.26	M
26	Spectrogram 1	1	175.773479578	178.875958426	1031.585	280.652	175.8749	0.0303	178.6874	0.9394	2.8125	3.1025	288.000	832.000	688.000	544.000	18.68	A
27	Spectrogram 1	1	183.722717468	184.498337180	515.793	273.067	183.8124	0.0870	184.4062	0.9130	0.5938	0.7756	288.000	448.000	320.000	160.000	18.00	D
28	Spectrogram 1	1	185.735345253	186.777584240	326.163	151.704	185.8437	0.0938	186.6249	0.8750	0.7812	1.0422	160.000	304.000	256.000	144.000	21.33	D
29	Spectrogram 1	1	187.892537576	188.692395404	326.163	136.533	188.0312	0.1600	188.6249	0.9200	0.5938	0.7999	160.000	272.000	256.000	112.000	22.56	D
30	Spectrogram 1	1	190.073968016	190.825349612	310.993	121.363	190.1562	0.0870	190.7812	0.9565	0.6250	0.7514	144.000	256.000	256.000	112.000	20.71	D
31	Spectrogram 1	1	193.197333133	193.197333133	3140.267	280.652	193.1874	NaN	193.1874	NaN	0.0000	0.0000	352.000	848.000	384.000	496.000	13.68	break
32	Spectrogram 1	1	263.270013360	265.330253220	2609.304	1327.407	263.2812	0.0000	265.1874	0.9385	1.9062	2.0602	1392.000	2544.000	1536.000	1152.000	11.65	M
33	Spectrogram 1	1	266.420968440	270.371781347	2867.200	1152.948	266.5937	0.0400	270.1874	0.9600	3.5938	3.9508	1280.000	2800.000	1664.000	1520.000	12.06	M2
34	Spectrogram 1	1	271.414020335	273.934784399	2882.370	1319.822	271.5624	0.0506	273.7499	0.9367	2.1875	2.5208	1376.000	2832.000	1344.000	1456.000	12.18	M
