Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	0.064308411	0.964626170	849.824	658.422	0.2187	0.1481	0.8124	0.8519	0.5938	0.9003	688.000	768.000	752.000	80.000	22.50	LS
2	Spectrogram 1	1	1.618902203	1.618902203	2938.197	131.072	1.6249	NaN	1.6249	NaN	0.0000	0.0000	224.000	1248.000	320.000	1024.000	16.62	break
3	Spectrogram 1	1	2.134562624	3.995901233	629.570	286.918	2.3437	0.1034	3.8437	0.9310	1.5000	1.8613	320.000	608.000	592.000	288.000	19.77	F
4	Spectrogram 1	1	4.802631090	5.855262562	857.126	689.597	4.9374	0.1212	5.7187	0.8788	0.7812	1.0526	704.000	816.000	736.000	112.000	21.61	LS
5	Spectrogram 1	1	7.861841306	9.884867416	1732.600	893.478	8.3437	0.2344	9.7499	0.9375	1.4062	2.0230	912.000	1248.000	944.000	336.000	13.53	L
6	Spectrogram 1	1	11.710525125	13.651314401	2338.168	917.464	12.1562	0.2295	13.4999	0.9344	1.3438	1.9408	944.000	1472.000	976.000	528.000	14.77	L
7	Spectrogram 1	1	15.559208944	17.335524552	2186.776	851.503	15.7499	0.1071	17.2499	0.9643	1.5000	1.7763	880.000	1808.000	912.000	928.000	14.25	L
8	Spectrogram 1	1	20.558819722	22.411950762	2218.912	853.578	20.8437	0.1525	22.1562	0.8644	1.3125	1.8531	896.000	1520.000	912.000	624.000	13.86	L
9	Spectrogram 1	1	24.111450939	26.213978123	2245.651	851.503	24.2812	0.0758	25.8749	0.8485	1.5938	2.1025	880.000	1808.000	912.000	928.000	13.59	L
10	Spectrogram 1	1	27.170661155	28.895407946	2329.758	833.513	27.3749	0.1111	28.6562	0.8704	1.2812	1.7247	880.000	1808.000	1008.000	928.000	14.06	L
11	Spectrogram 1	1	30.953555507	32.779213216	2287.704	857.499	31.1874	0.1228	32.6562	0.9474	1.4688	1.8257	880.000	1744.000	896.000	864.000	14.90	L
12	Spectrogram 1	1	34.020919226	35.986449731	2312.936	725.576	34.3437	0.1613	35.8749	0.9516	1.5312	1.9655	752.000	1568.000	784.000	816.000	14.42	L
13	Spectrogram 1	1	37.099782845	39.903293895	647.622	222.330	37.5312	0.1477	39.7187	0.9432	2.1875	2.8035	304.000	608.000	336.000	304.000	14.85	F
14	Spectrogram 1	1	41.021874228	43.504564928	611.643	281.835	41.3749	0.1392	42.9687	0.7848	1.5938	2.4827	320.000	592.000	336.000	272.000	17.42	F
15	Spectrogram 1	1	43.806848409	44.415400978	815.524	641.625	43.9687	0.2632	44.3124	0.8421	0.3438	0.6086	688.000	736.000	688.000	48.000	21.44	LS
16	Spectrogram 1	1	45.583164018	48.050269030	611.643	221.870	45.9374	0.1410	47.7499	0.8846	1.8125	2.4671	240.000	576.000	272.000	336.000	14.78	F
17	Spectrogram 1	1	49.004216301	51.010795044	605.646	185.891	49.2499	0.1111	50.8749	0.9365	1.6250	2.0066	208.000	576.000	240.000	368.000	15.29	F
18	Spectrogram 1	1	51.985630708	54.354051520	641.625	197.884	52.2187	0.0933	54.2187	0.9467	2.0000	2.3684	224.000	592.000	256.000	368.000	12.75	F
