Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	7.466488608	9.350555826	682.667	106.924	7.5937	0.0667	9.0937	0.8667	1.5000	1.8841	224.000	656.000	608.000	432.000	17.70	F
2	Spectrogram 1	1	10.257699302	11.095062510	929.414	723.791	10.4374	0.1923	10.9374	0.8077	0.5000	0.8374	768.000	832.000	800.000	64.000	18.27	LS
3	Spectrogram 1	1	14.486763007	15.393906482	1653.205	896.514	14.5937	0.1071	15.2187	0.8214	0.6250	0.9071	976.000	1536.000	1280.000	560.000	12.51	L
4	Spectrogram 1	1	17.417534236	19.709778617	2008.233	847.165	17.6874	0.1111	19.5624	0.9444	1.8750	2.2922	896.000	1728.000	1024.000	832.000	13.33	V
5	Spectrogram 1	1	20.826165630	23.348856961	2187.184	912.964	21.2812	0.1750	22.9374	0.8375	1.6562	2.5227	960.000	1968.000	1024.000	1008.000	13.16	V
6	Spectrogram 1	1	24.114224063	26.779122119	2386.019	746.613	24.3124	0.0714	26.3749	0.8571	2.0625	2.6649	832.000	2032.000	1280.000	1200.000	13.03	L
7	Spectrogram 1	1	28.812762066	31.324851691	1768.353	921.189	29.4999	0.2658	30.9687	0.8608	1.4688	2.5121	960.000	1664.000	1024.000	704.000	14.59	V
8	Spectrogram 1	1	32.487856147	34.906905415	2631.968	1028.112	32.8437	0.1429	34.5937	0.8701	1.7500	2.4190	1040.000	2272.000	1136.000	1232.000	13.38	V
9	Spectrogram 1	1	36.279250673	37.418995040	1332.434	732.016	36.4062	0.1111	37.2499	0.8611	0.8438	1.1397	784.000	1264.000	1136.000	480.000	14.82	L
10	Spectrogram 1	1	40.245016572	42.198864058	2286.602	1061.012	40.6249	0.1935	41.9374	0.8710	1.3125	1.9538	1120.000	2000.000	1264.000	880.000	12.66	L
11	Spectrogram 1	1	43.571209316	45.222675644	1799.456	896.514	43.9062	0.1923	44.8749	0.7885	0.9688	1.6515	928.000	1568.000	944.000	640.000	14.22	V
12	Spectrogram 1	1	46.269379654	47.571944645	1809.398	732.016	46.4687	0.1463	47.4687	0.9268	1.0000	1.3026	768.000	1552.000	1024.000	784.000	15.04	L
13	Spectrogram 1	1	49.020399933	52.346592677	699.116	213.847	49.3124	0.0849	51.7187	0.8113	2.4062	3.3262	336.000	640.000	416.000	304.000	23.47	F
14	Spectrogram 1	1	53.718937935	56.603188986	855.390	213.847	53.9999	0.0879	56.1874	0.8571	2.1875	2.8843	336.000	656.000	432.000	320.000	22.86	F
15	Spectrogram 1	1	58.009237448	61.219129746	723.791	205.622	58.3437	0.0980	60.6562	0.8235	2.3125	3.2099	336.000	656.000	416.000	320.000	23.67	F
16	Spectrogram 1	1	64.242941332	66.824811224	682.667	222.072	64.6562	0.1585	66.5937	0.9146	1.9375	2.5819	288.000	656.000	416.000	368.000	24.83	F
17	Spectrogram 1	1	68.313456928	71.081407533	707.341	180.948	68.5937	0.0920	70.6249	0.8391	2.0312	2.7680	256.000	672.000	432.000	416.000	22.20	F
18	Spectrogram 1	1	72.756133950	74.616941080	740.241	156.273	72.9062	0.0690	74.3124	0.8448	1.4062	1.8608	224.000	656.000	432.000	432.000	19.74	F
19	Spectrogram 1	1	75.477564377	76.035806516	847.165	575.743	75.6874	0.3529	75.9062	0.7647	0.2188	0.5582	608.000	672.000	640.000	64.000	24.18	LS
20	Spectrogram 1	1	77.285363545	79.750932992	690.892	197.398	77.4374	0.0513	79.3437	0.8333	1.9062	2.4656	272.000	640.000	416.000	368.000	23.60	F
21	Spectrogram 1	1	80.937197537	83.239946360	838.940	180.948	81.2499	0.1370	83.0624	0.9315	1.8125	2.3027	224.000	688.000	416.000	464.000	22.44	F
22	Spectrogram 1	1	98.305996565	100.376144497	748.466	205.622	98.7187	0.1970	100.2499	0.9394	1.5312	2.0701	256.000	656.000	400.000	400.000	18.40	F
23	Spectrogram 1	1	101.399588418	102.329991983	912.964	690.892	101.5937	0.2069	102.2812	0.9655	0.6875	0.9304	752.000	816.000	784.000	64.000	27.16	LS
