Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	4.256596309	7.513008786	1116.361	875.420	4.8124	0.1650	7.2812	0.9320	2.4688	3.2564	912.000	1056.000	992.000	144.000	18.27	L
2	Spectrogram 1	1	9.195777128	12.700008660	1737.007	787.075	9.4999	0.0811	12.3124	0.8919	2.8125	3.5042	816.000	1376.000	864.000	560.000	15.32	L
3	Spectrogram 1	1	15.305138641	17.328766395	1212.737	987.859	15.4999	0.0938	17.2187	0.9531	1.7188	2.0236	1008.000	1136.000	1040.000	128.000	21.01	L
4	Spectrogram 1	1	19.473917089	20.934080208	1441.185	947.702	19.8124	0.2222	20.8437	0.9556	1.0312	1.4602	976.000	1152.000	1040.000	176.000	17.93	L
5	Spectrogram 1	1	23.101382420	25.776292668	1676.326	811.169	23.2812	0.0595	25.5624	0.9286	2.2812	2.6749	832.000	1440.000	976.000	608.000	14.34	L
6	Spectrogram 1	1	28.427942828	30.474830671	1691.496	995.890	28.6249	0.0923	30.3437	0.9385	1.7188	2.0469	1040.000	1296.000	1056.000	256.000	15.49	L
7	Spectrogram 1	1	32.361420776	35.150108584	1767.348	963.765	32.5624	0.0682	34.9374	0.9318	2.3750	2.7887	992.000	1568.000	1024.000	576.000	14.91	L
8	Spectrogram 1	1	38.320759509	40.297867084	1174.445	939.671	38.5937	0.1290	40.1249	0.9194	1.5312	1.9771	960.000	1120.000	1040.000	160.000	16.18	L
9	Spectrogram 1	1	41.786512788	43.717100185	1799.027	931.639	41.8437	0.0167	43.5624	0.9333	1.7188	1.9306	960.000	1712.000	976.000	752.000	15.78	L
10	Spectrogram 1	1	45.398405671	47.933755385	666.604	176.690	45.8749	0.1875	47.8124	0.9625	1.9375	2.5353	208.000	640.000	288.000	432.000	20.28	F
11	Spectrogram 1	1	50.716422030	53.469656596	722.824	168.659	51.1874	0.1705	52.9687	0.8182	1.7812	2.7532	192.000	640.000	288.000	448.000	18.14	F
12	Spectrogram 1	1	56.508184221	58.857453222	658.573	176.690	56.9999	0.2027	58.6249	0.9054	1.6250	2.3493	192.000	624.000	208.000	432.000	17.42	F
13	Spectrogram 1	1	59.601776074	60.322838836	867.388	706.761	59.6874	0.0909	60.0937	0.6818	0.4062	0.7211	736.000	816.000	784.000	80.000	19.80	LS
14	Spectrogram 1	1	62.090605610	64.393354432	682.667	176.690	62.4999	0.1781	64.3124	0.9726	1.8125	2.3027	192.000	640.000	208.000	448.000	18.56	F
15	Spectrogram 1	1	65.114417195	65.626139156	803.137	602.353	65.2187	0.1875	65.5312	0.8125	0.3125	0.5117	640.000	768.000	672.000	128.000	19.45	LS
16	Spectrogram 1	1	66.812403701	68.905811722	754.949	160.627	67.2499	0.2121	68.8124	0.9697	1.5625	2.0934	176.000	592.000	208.000	416.000	16.02	F
17	Spectrogram 1	1	70.491611296	72.561759227	690.698	152.596	70.8124	0.1538	72.4062	0.9385	1.5938	2.0701	176.000	624.000	192.000	448.000	18.82	F
18	Spectrogram 1	1	77.155626829	79.190884627	634.478	168.659	77.3437	0.0923	79.0312	0.9231	1.6875	2.0353	192.000	608.000	208.000	416.000	17.94	F
19	Spectrogram 1	1	83.063689465	85.296658021	634.478	160.627	83.4687	0.1714	84.9374	0.8429	1.4688	2.2330	192.000	608.000	208.000	416.000	18.13	F
20	Spectrogram 1	1	90.893664408	92.917292161	634.478	176.690	90.9999	0.0469	92.7187	0.9062	1.7188	2.0236	208.000	608.000	288.000	400.000	19.98	F
