Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	0.640060176	10.493419985	3337.481	756.900	1.9687	0.1338	9.8749	0.9395	7.9062	9.8534	816.000	3008.000	1344.000	2192.000	12.59	W3
2	Spectrogram 1	1	12.401314528	21.644734640	3208.533	764.300	13.5624	0.1254	21.1249	0.9458	7.5625	9.2434	816.000	2960.000	1376.000	2144.000	13.04	W3
3	Spectrogram 1	1	22.655326803	31.959362451	3299.556	724.618	24.4374	0.1919	31.1562	0.9158	6.7188	9.3040	832.000	2992.000	1344.000	2160.000	12.82	W3
4	Spectrogram 1	1	32.982806373	36.239218849	869.542	198.317	33.6874	0.2136	35.8749	0.8932	2.1875	3.2564	240.000	576.000	304.000	336.000	20.00	F
5	Spectrogram 1	1	38.565227761	41.263398099	800.894	175.434	39.0937	0.1882	40.7812	0.8235	1.6875	2.6982	208.000	560.000	256.000	352.000	18.65	F
6	Spectrogram 1	1	42.472922734	44.566330754	724.618	152.551	42.8437	0.1667	44.4062	0.9242	1.5625	2.0934	208.000	608.000	208.000	400.000	20.31	F
7	Spectrogram 1	1	45.581327589	48.326018106	839.032	183.061	46.1874	0.2184	48.1249	0.9310	1.9375	2.7447	224.000	592.000	368.000	368.000	19.87	F
8	Spectrogram 1	1	49.163381314	51.815031474	808.521	190.689	49.8437	0.2500	51.4062	0.8452	1.5625	2.6517	224.000	432.000	256.000	208.000	19.76	F
9	Spectrogram 1	1	77.084613817	89.924183012	3140.267	755.128	79.2187	0.1659	89.0312	0.9317	9.8125	12.8396	864.000	2832.000	1344.000	1968.000	12.86	W4
10	Spectrogram 1	1	91.738469963	103.787196127	3208.533	747.501	93.3749	0.1351	102.9999	0.9351	9.6250	12.0487	848.000	2944.000	1360.000	2096.000	13.42	W4
11	Spectrogram 1	1	105.217945598	115.964106771	3193.363	770.384	107.4062	0.2041	115.4374	0.9534	8.0312	10.7462	864.000	3056.000	864.000	2192.000	14.14	W3
12	Spectrogram 1	1	117.359712118	126.989389014	3232.334	762.756	118.8124	0.1498	126.3749	0.9381	7.5625	9.6297	832.000	2896.000	1360.000	2064.000	14.32	W3
13	Spectrogram 1	1	128.478034718	138.107711614	3061.311	770.384	130.2812	0.1857	137.5312	0.9414	7.2500	9.6297	832.000	2816.000	1248.000	1984.000	14.14	W3
14	Spectrogram 1	1	139.311718130	142.521610429	739.873	198.317	140.0624	0.2353	142.0312	0.8529	1.9688	3.2099	240.000	656.000	256.000	416.000	21.58	F
15	Spectrogram 1	1	144.568498272	147.220148431	800.894	160.179	145.1562	0.2143	146.8437	0.8571	1.6875	2.6517	224.000	656.000	304.000	432.000	21.58	F
16	Spectrogram 1	1	148.243592353	150.616121443	793.266	183.061	148.7187	0.2000	150.1249	0.8000	1.4062	2.3725	240.000	544.000	240.000	304.000	22.44	F
17	Spectrogram 1	1	151.313924116	153.686453207	716.991	175.434	151.9062	0.2432	153.3749	0.8784	1.4688	2.3725	240.000	560.000	256.000	320.000	23.35	F
18	Spectrogram 1	1	156.896345505	159.268874596	755.128	190.689	157.6249	0.3067	158.6874	0.7600	1.0625	2.3725	224.000	464.000	256.000	240.000	20.99	F
19	Spectrogram 1	1	160.106237804	162.246166003	808.521	190.689	160.6874	0.2687	161.8749	0.8358	1.1875	2.1399	240.000	576.000	256.000	336.000	21.60	F
20	Spectrogram 1	1	181.620864902	196.042120157	3121.169	785.639	183.9687	0.1627	195.3437	0.9523	11.3750	14.4213	880.000	2720.000	1328.000	1840.000	12.50	W4
21	Spectrogram 1	1	197.716846573	208.137366499	3146.823	778.011	199.0624	0.1291	207.4374	0.9339	8.3750	10.4205	832.000	2976.000	1344.000	2144.000	12.81	W3
22	Spectrogram 1	1	210.117572369	220.352011582	3215.232	732.246	211.4374	0.1284	219.5937	0.9266	8.1562	10.2344	832.000	2992.000	1088.000	2160.000	13.11	W3
23	Spectrogram 1	1	221.375455504	231.098172756	3172.476	739.873	223.0624	0.1710	230.4374	0.9323	7.3750	9.7227	832.000	2992.000	1344.000	2160.000	13.42	W3
24	Spectrogram 1	1	233.036251318	242.061165896	3232.334	694.108	234.4062	0.1498	241.4999	0.9408	7.0938	9.0249	784.000	3120.000	1216.000	2336.000	13.72	W3
25	Spectrogram 1	1	242.898529105	245.829300334	747.501	190.689	243.8124	0.3118	245.4062	0.8602	1.5938	2.9308	240.000	592.000	304.000	352.000	18.50	F
26	Spectrogram 1	1	247.922708355	250.806959405	739.873	175.434	248.6874	0.2637	250.4062	0.8681	1.7188	2.8843	224.000	512.000	240.000	288.000	20.34	F
27	Spectrogram 1	1	251.783883148	254.249452595	785.639	198.317	252.8124	0.4156	253.9999	0.9091	1.1875	2.4656	224.000	512.000	240.000	288.000	20.97	F
28	Spectrogram 1	1	255.226376338	257.784986142	709.363	175.434	256.1249	0.3457	257.4374	0.8642	1.3125	2.5586	224.000	464.000	256.000	240.000	21.50	F
29	Spectrogram 1	1	260.936982790	263.076910989	861.914	160.179	261.5312	0.2794	262.8124	0.8824	1.2812	2.1399	208.000	512.000	304.000	304.000	20.59	F
30	Spectrogram 1	1	264.053834733	266.426363823	861.914	167.806	265.1249	0.4533	265.9687	0.8133	0.8438	2.3725	224.000	448.000	240.000	224.000	19.99	F
31	Spectrogram 1	1	285.402542328	298.335151879	3067.715	724.618	287.2187	0.1404	298.1874	0.9903	10.9688	12.9326	800.000	2768.000	816.000	1968.000	12.79	W4
32	Spectrogram 1	1	299.637716870	312.291205351	3110.561	747.501	301.4374	0.1411	311.8124	0.9629	10.3750	12.6535	832.000	2928.000	1200.000	2096.000	13.59	W4
33	Spectrogram 1	1	313.314649273	323.223447238	3144.837	755.128	315.5624	0.2247	322.7499	0.9525	7.1875	9.9088	816.000	2672.000	1200.000	1856.000	14.36	W3
34	Spectrogram 1	1	324.343199137	334.019396211	3170.544	724.618	326.7499	0.2492	333.4999	0.9482	6.7500	9.6762	816.000	2656.000	816.000	1840.000	14.79	W3
35	Spectrogram 1	1	335.135880489	345.323799523	3076.285	732.246	337.6249	0.2431	344.7812	0.9477	7.1562	10.1879	800.000	2352.000	816.000	1552.000	14.18	W3
36	Spectrogram 1	1	346.114642554	349.045413783	739.873	183.061	346.8749	0.2581	348.6562	0.8710	1.7812	2.9308	240.000	688.000	304.000	448.000	24.49	F
37	Spectrogram 1	1	351.278382338	353.836992142	831.404	190.689	352.0624	0.3086	353.3749	0.8272	1.3125	2.5586	224.000	560.000	240.000	336.000	24.46	F
38	Spectrogram 1	1	354.674355350	357.326005510	854.287	190.689	355.4999	0.3095	356.9687	0.8690	1.4688	2.6517	224.000	560.000	240.000	336.000	24.12	F
39	Spectrogram 1	1	359.415358730	362.020488712	846.659	183.061	360.3124	0.3415	361.6249	0.8537	1.3125	2.6051	224.000	512.000	240.000	288.000	23.93	F
40	Spectrogram 1	1	362.625251029	365.090820476	816.149	175.434	363.2499	0.2468	364.8124	0.8961	1.5625	2.4656	224.000	592.000	352.000	368.000	23.88	F
41	Spectrogram 1	1	388.544651383	400.546857369	2870.628	739.873	390.5312	0.1645	400.1874	0.9713	9.6562	12.0022	816.000	2240.000	816.000	1424.000	13.16	W4
42	Spectrogram 1	1	401.709861825	411.665179969	2999.163	732.246	403.9687	0.2264	411.0624	0.9403	7.0938	9.9553	816.000	2512.000	816.000	1696.000	13.97	W3
43	Spectrogram 1	1	412.735144068	423.341744707	3016.301	770.384	415.1562	0.2278	422.8749	0.9586	7.7188	10.6066	816.000	2640.000	1168.000	1824.000	14.92	W3
44	Spectrogram 1	1	425.056008700	435.476528626	3076.285	762.756	427.2812	0.2132	435.0624	0.9610	7.7812	10.4205	816.000	2816.000	816.000	2000.000	15.11	W3
45	Spectrogram 1	1	436.593012904	446.827452117	3016.301	755.128	438.5312	0.1896	446.3437	0.9541	7.8125	10.2344	816.000	2672.000	848.000	1856.000	14.08	W3
