Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	1.874999809	3.684210152	1981.100	928.100	2.1874	0.1607	3.5624	0.9464	1.3750	1.8092	960.000	1296.000	960.000	336.000	17.39	L
2	Spectrogram 1	1	5.197367892	6.644736166	1561.700	821.000	5.4374	0.1556	6.5624	0.9556	1.1250	1.4474	848.000	1248.000	896.000	400.000	17.12	L
3	Spectrogram 1	1	8.026314973	10.888156787	642.500	205.200	8.2499	0.0769	10.2812	0.7912	2.0312	2.8618	288.000	592.000	544.000	304.000	20.05	F
4	Spectrogram 1	1	12.138156660	14.769735340	642.500	205.200	12.5312	0.1446	14.6249	0.9518	2.0938	2.6316	224.000	592.000	496.000	368.000	18.09	F
5	Spectrogram 1	1	15.747080334	16.933344880	832.757	639.092	15.9374	0.1622	16.6874	0.8108	0.7500	1.1863	720.000	800.000	752.000	80.000	25.79	LS
6	Spectrogram 1	1	17.865597264	20.410524662	670.809	193.112	18.3749	0.1975	20.2499	0.9383	1.8750	2.5449	240.000	592.000	288.000	352.000	15.77	F
7	Spectrogram 1	1	22.384591601	24.105838196	629.409	154.931	22.5937	0.1111	23.8124	0.8333	1.2188	1.7212	256.000	576.000	528.000	320.000	18.40	F
8	Spectrogram 1	1	24.826900959	25.734044434	948.955	639.092	24.9374	0.1071	25.6249	0.8929	0.6875	0.9071	704.000	896.000	736.000	192.000	17.35	LS
9	Spectrogram 1	1	27.205433464	28.734595931	658.459	203.348	27.3124	0.0625	28.4062	0.7917	1.0938	1.5292	256.000	592.000	576.000	336.000	19.43	F
10	Spectrogram 1	1	29.176537624	30.386062258	784.340	629.409	29.4062	0.1842	30.2812	0.9211	0.8750	1.2095	656.000	736.000	704.000	80.000	21.29	LS
11	Spectrogram 1	1	31.409506180	33.386613755	610.043	193.664	31.5937	0.0806	33.2499	0.9355	1.6562	1.9771	224.000	560.000	528.000	336.000	18.64	F
12	Spectrogram 1	1	33.886664582	34.625514472	802.938	589.499	33.9999	0.1304	34.4999	0.8261	0.5000	0.7388	640.000	752.000	720.000	112.000	18.12	LS
13	Spectrogram 1	1	35.626861115	37.162026997	561.626	242.080	35.9374	0.1875	37.0937	0.9583	1.1562	1.5352	272.000	560.000	512.000	288.000	18.44	F
14	Spectrogram 1	1	38.220819070	39.557656228	1206.044	857.126	38.4374	0.1463	39.3437	0.8537	0.9062	1.3368	880.000	1104.000	912.000	224.000	17.60	L
15	Spectrogram 1	1	41.708194127	42.960134218	1158.670	843.593	41.9374	0.1795	42.8124	0.8974	0.8750	1.2519	896.000	1120.000	960.000	224.000	15.82	L
16	Spectrogram 1	1	44.684117294	46.633860058	1402.600	894.412	44.8749	0.0968	46.3749	0.8710	1.5000	1.9497	944.000	1248.000	1040.000	304.000	15.00	L
17	Spectrogram 1	1	47.439491120	48.433549519	1441.185	902.637	47.7812	0.3333	48.3437	0.9333	0.5625	0.9941	960.000	1136.000	976.000	176.000	12.79	L
18	Spectrogram 1	1	48.480984783	50.902770532	1471.526	802.938	48.7499	0.1053	50.4687	0.8289	1.7188	2.4218	864.000	1200.000	992.000	336.000	18.34	L
19	Spectrogram 1	1	51.826332894	54.330213076	1441.185	750.933	52.0624	0.0886	53.7499	0.7722	1.6875	2.5039	864.000	1088.000	976.000	224.000	18.59	L
20	Spectrogram 1	1	55.171681006	57.311519366	1361.945	772.447	55.5624	0.1791	56.9687	0.8507	1.4062	2.1398	880.000	1072.000	960.000	192.000	18.51	L
21	Spectrogram 1	1	58.605902203	61.485243775	568.889	204.800	58.9062	0.0989	61.2187	0.9121	2.3125	2.8793	240.000	544.000	304.000	304.000	17.24	F
22	Spectrogram 1	1	59.685992383	61.286833810	1616.040	802.938	60.0624	0.2353	61.1874	0.9412	1.1250	1.6008	880.000	1232.000	928.000	352.000	16.90	L
23	Spectrogram 1	1	62.513580051	65.598588877	523.378	174.459	62.8437	0.1020	65.1249	0.8469	2.2812	3.0850	208.000	512.000	240.000	304.000	17.61	F
24	Spectrogram 1	1	62.702521283	64.016032198	1666.859	935.067	62.9062	0.1463	63.8437	0.8780	0.9375	1.3135	976.000	1120.000	1024.000	144.000	18.93	L
25	Spectrogram 1	1	65.657920842	66.643054028	1361.945	904.576	65.8437	0.1667	66.5624	0.9333	0.7188	0.9851	960.000	1248.000	976.000	288.000	17.66	L
26	Spectrogram 1	1	68.674891225	70.193638220	1494.074	813.102	68.8437	0.1042	70.0312	0.8958	1.1875	1.5187	864.000	1264.000	1008.000	400.000	19.60	L
27	Spectrogram 1	1	68.820709208	70.911659635	652.326	174.459	69.0312	0.0909	70.7499	0.9242	1.7188	2.0910	224.000	592.000	256.000	368.000	16.09	F
28	Spectrogram 1	1	72.591275552	75.299227744	621.985	174.459	72.7499	0.0581	74.8124	0.8256	2.0625	2.7080	208.000	592.000	288.000	384.000	18.01	F
29	Spectrogram 1	1	72.861707266	74.667784775	1209.489	741.955	73.1249	0.1404	74.4999	0.9123	1.3750	1.8061	816.000	1024.000	816.000	208.000	21.37	L
30	Spectrogram 1	1	76.398463086	78.628369984	652.326	189.630	76.6874	0.1268	78.4999	0.9437	1.8125	2.2299	224.000	624.000	256.000	400.000	15.86	F
31	Spectrogram 1	1	76.769770938	78.596372054	1209.489	843.593	76.9999	0.1207	78.2187	0.7931	1.2188	1.8266	896.000	1152.000	976.000	256.000	17.28	L
32	Spectrogram 1	1	79.646370960	82.045944687	766.104	182.044	80.0937	0.1842	81.6562	0.8421	1.5625	2.3996	208.000	720.000	320.000	512.000	15.94	F
33	Spectrogram 1	1	80.074071834	81.880149342	1443.256	833.429	80.3749	0.1579	81.5624	0.8246	1.1875	1.8061	928.000	1264.000	976.000	336.000	17.27	L
34	Spectrogram 1	1	82.947376960	85.143403021	630.154	457.370	83.3124	0.1594	84.9062	0.8986	1.5938	2.1960	512.000	592.000	544.000	80.000	23.46	T
35	Spectrogram 1	1	86.818913795	88.583944087	680.973	152.457	86.9687	0.0727	88.4687	0.9455	1.5000	1.7650	192.000	624.000	304.000	432.000	18.33	F
36	Spectrogram 1	1	89.569077273	91.313583957	630.154	132.129	89.7812	0.1091	91.1874	0.9273	1.4062	1.7445	192.000	592.000	576.000	400.000	16.97	F
37	Spectrogram 1	1	92.627094872	93.037567033	660.645	548.844	92.7187	0.1667	92.9374	0.7500	0.2188	0.4105	592.000	624.000	608.000	32.000	18.40	LS
38	Spectrogram 1	1	94.186889084	95.582494431	579.335	233.767	94.4062	0.1591	95.4687	0.9318	1.0625	1.3956	272.000	560.000	496.000	288.000	21.14	F
39	Spectrogram 1	1	96.341867929	97.306477507	823.266	609.826	96.5312	0.2000	97.1874	0.9000	0.6562	0.9646	640.000	784.000	656.000	144.000	22.86	LS
40	Spectrogram 1	1	98.312134301	99.789834081	569.171	365.896	98.7812	0.3191	99.4374	0.7660	0.6562	1.4777	448.000	544.000	528.000	96.000	24.31	T
41	Spectrogram 1	1	100.138735418	101.103344996	874.084	589.499	100.2499	0.1000	100.9999	0.9000	0.7500	0.9646	640.000	800.000	720.000	160.000	20.93	LS
42	Spectrogram 1	1	101.461033651	103.569749957	705.422	189.630	101.7499	0.1343	103.3437	0.8955	1.5938	2.1087	240.000	640.000	592.000	400.000	16.94	F
43	Spectrogram 1	1	104.336164481	105.116061587	792.774	640.318	104.4374	0.1250	105.0312	0.9167	0.5938	0.7799	672.000	752.000	720.000	80.000	23.89	LS
44	Spectrogram 1	1	106.101194773	107.825177849	619.990	172.784	106.4062	0.1667	107.5937	0.8704	1.1875	1.7240	208.000	560.000	544.000	352.000	17.64	F
45	Spectrogram 1	1	108.174079186	109.056594332	843.593	589.499	108.3124	0.1481	108.9374	0.8889	0.6250	0.8825	624.000	784.000	720.000	160.000	22.65	LS
46	Spectrogram 1	1	110.041727518	111.868328634	772.447	243.931	110.2187	0.0877	111.7187	0.9298	1.5000	1.8266	272.000	720.000	624.000	448.000	19.38	F
47	Spectrogram 1	1	112.956079861	113.530740886	914.739	609.826	113.0937	0.2353	113.4374	0.8824	0.3438	0.5747	672.000	784.000	752.000	112.000	23.88	LS
48	Spectrogram 1	1	114.803204585	117.245513943	619.990	233.767	115.0312	0.0909	116.9374	0.8831	1.9062	2.4423	272.000	560.000	544.000	288.000	19.65	F
49	Spectrogram 1	1	118.402656799	119.590324603	591.644	485.452	118.5937	0.1622	119.4374	0.8919	0.8438	1.1877	512.000	576.000	528.000	64.000	19.15	T
50	Spectrogram 1	1	121.044611711	121.941422094	879.881	690.252	121.2499	0.2143	121.8124	0.8571	0.5625	0.8968	704.000	816.000	736.000	112.000	18.34	LS
51	Spectrogram 1	1	124.359335368	126.657979469	630.154	193.112	124.7187	0.1507	126.3749	0.8767	1.6562	2.2986	240.000	608.000	256.000	368.000	18.31	F
