Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	9.862277787	13.351291155	788.900	220.000	10.4687	0.1712	12.9374	0.8829	2.4688	3.4890	256.000	656.000	304.000	400.000	17.50	F
2	Spectrogram 1	1	14.839936859	18.142869514	682.700	220.000	15.1249	0.0857	17.0937	0.6857	1.9688	3.3029	304.000	672.000	352.000	368.000	19.33	F
3	Spectrogram 1	1	20.794519674	23.957891794	728.200	227.600	20.9062	0.0300	22.0312	0.3900	1.1250	3.1634	288.000	384.000	352.000	96.000	16.33	F
4	Spectrogram 1	1	25.958259458	28.377308727	728.200	197.200	26.0937	0.0519	28.3124	0.9740	2.2188	2.4190	224.000	672.000	272.000	448.000	15.73	F
5	Spectrogram 1	1	29.865954430	32.703685303	743.300	227.600	29.9062	0.0111	32.5937	0.9667	2.6875	2.8377	240.000	656.000	352.000	416.000	17.40	F
6	Spectrogram 1	1	33.913209937	36.611380275	667.500	227.600	33.9999	0.0235	36.1562	0.8353	2.1562	2.6982	256.000	576.000	352.000	320.000	17.17	F
7	Spectrogram 1	1	39.960833109	42.426402555	697.800	189.600	40.0937	0.0513	42.3749	0.9872	2.2812	2.4656	192.000	640.000	352.000	448.000	18.28	F
8	Spectrogram 1	1	43.124205229	44.054608794	781.300	599.200	43.1249	0.0000	43.9062	0.8621	0.7812	0.9304	608.000	752.000	608.000	144.000	15.47	LS
9	Spectrogram 1	1	45.031532537	48.055344122	705.400	235.100	46.0937	0.3474	47.1562	0.7053	1.0625	3.0238	240.000	544.000	240.000	304.000	17.88	F
10	Spectrogram 1	1	49.326371848	52.443223790	879.900	212.400	49.7187	0.1212	52.0624	0.8788	2.3438	3.1169	224.000	592.000	224.000	368.000	21.25	F
11	Spectrogram 1	1	71.125925478	72.943784362	695.193	150.312	71.2499	0.0526	72.6249	0.8246	1.3750	1.8179	208.000	592.000	352.000	384.000	18.29	F
12	Spectrogram 1	1	74.616214536	75.634215512	760.954	638.826	74.8124	0.1875	75.5624	0.9375	0.7500	1.0180	640.000	736.000	672.000	96.000	15.10	LS
13	Spectrogram 1	1	77.157816534	92.509475353	3372.624	801.032	81.7499	0.2980	92.4374	0.9959	10.6875	15.3517	832.000	3136.000	832.000	2304.000	11.94	W4
14	Spectrogram 1	1	95.731623560	106.232927934	3278.679	751.484	98.7187	0.2836	106.1562	0.9940	7.4375	10.5013	784.000	2784.000	864.000	2000.000	13.09	W3
15	Spectrogram 1	1	108.548600590	118.282982289	2688.000	734.968	110.5937	0.2090	118.0312	0.9743	7.4375	9.7344	784.000	1840.000	800.000	1056.000	13.68	W3
16	Spectrogram 1	1	119.730965752	123.313019477	726.710	231.226	119.9999	0.0702	123.2187	0.9737	3.2188	3.5821	272.000	656.000	368.000	384.000	19.90	F
17	Spectrogram 1	1	124.569064289	127.871996944	784.516	231.226	124.9687	0.1154	127.5312	0.9038	2.5625	3.3029	256.000	784.000	288.000	528.000	19.85	F
18	Spectrogram 1	1	129.174561935	132.198373520	801.032	214.710	130.7187	0.5104	132.0937	0.9688	1.3750	3.0238	288.000	704.000	496.000	416.000	23.12	F
