Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	4.899309803	14.670930866	3637.375	719.568	6.3124	0.1442	14.0624	0.9391	7.7500	9.7716	768.000	3216.000	784.000	2448.000	13.45	W3
2	Spectrogram 1	1	15.839937083	25.091405126	3637.248	736.100	17.4374	0.1729	24.8437	0.9763	7.4062	9.2515	768.000	3120.000	784.000	2352.000	13.54	W3
3	Spectrogram 1	1	26.507111910	35.618953089	3354.275	712.240	28.0624	0.1690	35.2499	0.9621	7.1875	9.1118	752.000	3088.000	800.000	2336.000	13.25	W3
4	Spectrogram 1	1	36.803163495	39.443084874	849.900	167.200	37.2812	0.1786	39.3124	0.9524	2.0312	2.6399	208.000	704.000	256.000	496.000	21.91	F
5	Spectrogram 1	1	42.165526730	44.303684407	857.500	182.400	42.7812	0.2836	44.1562	0.9403	1.3750	2.1382	224.000	480.000	288.000	256.000	20.60	F
6	Spectrogram 1	1	45.224736945	47.428684089	796.800	182.400	46.4062	0.5362	47.1874	0.8986	0.7812	2.2039	208.000	464.000	224.000	256.000	19.72	F
7	Spectrogram 1	1	48.579999761	50.783946906	865.100	152.000	48.7187	0.0571	50.4062	0.8286	1.6875	2.2039	208.000	544.000	224.000	336.000	22.02	F
8	Spectrogram 1	1	51.745950108	53.744472920	720.900	182.400	52.3749	0.3175	53.5624	0.9206	1.1875	1.9985	208.000	528.000	224.000	320.000	20.97	F
9	Spectrogram 1	1	83.344212929	95.877106391	3463.732	758.900	86.4687	0.2475	95.5624	0.9750	9.0938	12.5329	816.000	3088.000	816.000	2272.000	13.35	W4
10	Spectrogram 1	1	97.160000997	108.081052518	3472.895	751.300	98.9999	0.1667	106.7499	0.8793	7.7500	10.9211	784.000	2816.000	864.000	2032.000	13.34	W3
11	Spectrogram 1	1	108.752001426	118.357263607	3445.405	743.700	110.5624	0.1863	118.0312	0.9673	7.4688	9.6053	784.000	2640.000	800.000	1856.000	13.39	W3
12	Spectrogram 1	1	120.002000282	129.574367729	3866.917	728.500	122.1874	0.2262	129.2187	0.9639	7.0312	9.5724	784.000	2176.000	816.000	1392.000	12.70	W3
13	Spectrogram 1	1	130.659893934	133.291472614	750.900	174.500	130.9374	0.0964	133.0937	0.9277	2.1562	2.6316	208.000	624.000	224.000	416.000	22.93	F
14	Spectrogram 1	1	135.594103959	137.995419504	750.900	182.000	136.2187	0.2533	137.7812	0.9200	1.5625	2.4013	208.000	704.000	224.000	496.000	22.60	F
15	Spectrogram 1	1	139.080945709	141.449366521	804.000	159.300	139.7499	0.2800	141.2187	0.9067	1.4688	2.3684	208.000	704.000	224.000	496.000	23.27	F
16	Spectrogram 1	1	142.633576927	144.738839871	773.700	189.600	143.2187	0.2727	144.4999	0.8939	1.2812	2.1053	224.000	656.000	224.000	432.000	22.43	F
17	Spectrogram 1	1	145.890155543	148.061207954	826.800	197.200	146.1874	0.1324	147.8437	0.9118	1.6562	2.1711	224.000	608.000	224.000	384.000	21.65	F
18	Spectrogram 1	1	168.250043621	169.927675030	622.000	227.600	168.4374	0.0962	169.6562	0.8462	1.2188	1.6776	272.000	592.000	576.000	320.000	22.17	F
19	Spectrogram 1	1	172.603908320	188.228906731	3683.651	682.700	175.5624	0.1884	187.9062	0.9800	12.3438	15.6250	720.000	2816.000	720.000	2096.000	12.63	W5
20	Spectrogram 1	1	189.787664419	201.860031612	3628.671	728.200	191.7812	0.1636	201.4687	0.9688	9.6875	12.0724	752.000	3040.000	752.000	2288.000	13.70	W4
21	Spectrogram 1	1	203.044242018	213.669240937	3555.365	720.600	205.3124	0.2124	213.1562	0.9528	7.8438	10.6250	752.000	2992.000	752.000	2240.000	14.28	W3
22	Spectrogram 1	1	214.937515523	224.904619773	3555.365	720.600	217.0937	0.2145	224.5312	0.9653	7.4375	9.9671	768.000	2848.000	864.000	2080.000	13.71	W3
23	Spectrogram 1	1	225.986014198	228.786198325	728.200	182.000	226.7187	0.2584	228.5937	0.9326	1.8750	2.8002	224.000	576.000	224.000	352.000	22.73	F
24	Spectrogram 1	1	230.003303465	232.569092677	766.100	182.000	230.7187	0.2716	232.4374	0.9506	1.7188	2.5658	208.000	704.000	224.000	496.000	22.30	F
25	Spectrogram 1	1	235.101987156	237.305934301	728.200	189.600	235.8124	0.3188	237.2187	0.9710	1.4062	2.2039	208.000	688.000	224.000	480.000	21.19	F
26	Spectrogram 1	1	238.851986775	241.055933919	842.000	189.600	239.6249	0.3478	240.9062	0.9420	1.2812	2.2039	208.000	624.000	224.000	416.000	21.61	F
27	Spectrogram 1	1	260.592239182	262.302765324	653.500	220.400	260.8437	0.1481	262.0624	0.8704	1.2188	1.7105	256.000	608.000	368.000	352.000	22.87	F
28	Spectrogram 1	1	264.642661155	277.767659820	3592.018	744.700	267.4374	0.2124	277.3749	0.9714	9.9375	13.1250	784.000	2432.000	816.000	1648.000	12.86	W4
29	Spectrogram 1	1	279.590058709	291.662425902	3656.161	721.900	281.3749	0.1477	291.3124	0.9715	9.9375	12.0724	800.000	2240.000	816.000	1440.000	12.72	W4
30	Spectrogram 1	1	293.598689629	304.980267419	3482.058	653.500	294.9687	0.1185	304.5312	0.9614	9.5625	11.3816	768.000	2368.000	816.000	1600.000	13.54	W4
31	Spectrogram 1	1	306.675650701	315.820386613	3592.018	759.900	308.0624	0.1507	315.4687	0.9623	7.4062	9.1447	800.000	2352.000	832.000	1552.000	13.76	W3
32	Spectrogram 1	1	317.136175953	320.392754569	721.900	190.000	317.5312	0.1165	319.9999	0.8835	2.4688	3.2566	224.000	672.000	256.000	448.000	22.27	F
33	Spectrogram 1	1	321.544070241	324.175648921	744.700	190.000	321.9687	0.1566	323.9062	0.9036	1.9375	2.6316	224.000	656.000	256.000	432.000	21.76	F
34	Spectrogram 1	1	383.484731884	395.326835943	3399.588	729.500	385.6874	0.1852	394.7499	0.9524	9.0625	11.8421	816.000	2960.000	1072.000	2144.000	12.57	W4
35	Spectrogram 1	1	396.576835815	407.892624138	3564.528	782.700	398.9687	0.2105	407.0312	0.9252	8.0625	11.3158	800.000	3008.000	1072.000	2208.000	12.76	W3
36	Spectrogram 1	1	409.111817756	419.013132538	3573.691	752.300	410.7187	0.1614	418.7187	0.9715	8.0000	9.9013	784.000	3136.000	800.000	2352.000	13.52	W3
37	Spectrogram 1	1	420.427606079	429.736815658	3537.038	706.700	422.1562	0.1852	429.4062	0.9663	7.2500	9.3092	736.000	2992.000	784.000	2256.000	13.80	W3
38	Spectrogram 1	1	431.175133411	440.747500859	3582.855	691.500	432.9999	0.1902	440.4687	0.9738	7.4688	9.5724	720.000	3072.000	736.000	2352.000	13.73	W3
39	Spectrogram 1	1	442.161974399	444.958026746	699.100	205.200	442.7187	0.1932	444.7499	0.9318	2.0312	2.7961	256.000	640.000	272.000	384.000	23.07	F
