Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	3.564899089	7.071067093	1781.333	771.710	4.2499	0.1892	6.3124	0.7838	2.0625	3.5062	816.000	1024.000	816.000	208.000	19.98	L
2	Spectrogram 1	1	9.327295737	11.443963847	1179.826	942.377	10.0937	0.3582	11.3124	0.9403	1.2188	2.1167	976.000	1088.000	1008.000	112.000	23.17	L
3	Spectrogram 1	1	13.537371868	15.119057928	2129.623	905.275	14.0312	0.3061	14.9687	0.9184	0.9375	1.5817	976.000	1056.000	1008.000	80.000	19.95	L
4	Spectrogram 1	1	17.503137767	19.573285699	1009.159	808.812	17.6562	0.0615	19.0937	0.7692	1.4375	2.0701	864.000	992.000	928.000	128.000	26.45	L
5	Spectrogram 1	1	21.992334967	26.830433504	1150.145	771.710	22.5937	0.1234	25.9999	0.8312	3.4062	4.8381	880.000	1072.000	992.000	192.000	23.06	L
6	Spectrogram 1	1	27.579977913	30.301408340	831.072	192.928	28.0937	0.1860	29.9374	0.8721	1.8438	2.7214	224.000	672.000	640.000	448.000	20.41	F
7	Spectrogram 1	1	33.046098857	35.651228838	645.565	192.928	33.4062	0.1341	35.3749	0.9024	1.9688	2.6051	224.000	624.000	240.000	400.000	23.49	F
8	Spectrogram 1	1	36.122574211	36.946670239	868.848	620.606	36.2812	0.1923	36.6874	0.6923	0.4062	0.8241	688.000	816.000	736.000	128.000	24.34	LS
9	Spectrogram 1	1	37.930717572	40.768448445	742.029	244.870	38.2499	0.1111	40.2812	0.8333	2.0312	2.8377	288.000	624.000	304.000	336.000	21.14	F
10	Spectrogram 1	1	41.745372188	44.583103060	675.246	230.029	42.1874	0.1556	44.2812	0.9000	2.0938	2.8377	288.000	640.000	320.000	352.000	23.62	F
11	Spectrogram 1	1	47.118294753	49.839725181	652.986	230.029	47.4374	0.1163	49.5937	0.9186	2.1562	2.7214	272.000	624.000	304.000	352.000	22.38	F
12	Spectrogram 1	1	50.315497495	51.163831641	849.541	659.911	50.4687	0.1538	50.8749	0.6538	0.4062	0.8483	688.000	816.000	720.000	128.000	24.66	LS
13	Spectrogram 1	1	51.933133201	55.119765411	667.826	252.290	52.4374	0.1584	54.8749	0.9307	2.4375	3.1866	304.000	640.000	320.000	336.000	23.52	F
14	Spectrogram 1	1	57.457325071	60.457876568	704.928	244.870	57.8124	0.1158	60.1562	0.9053	2.3438	3.0006	288.000	624.000	304.000	336.000	22.36	F
15	Spectrogram 1	1	63.551468421	66.412459383	615.884	222.609	63.8749	0.1099	66.0937	0.8901	2.2188	2.8610	272.000	576.000	304.000	304.000	21.22	F
16	Spectrogram 1	1	72.134441306	74.576750664	652.986	192.928	72.4062	0.1039	74.3437	0.9091	1.9375	2.4423	224.000	592.000	240.000	368.000	20.72	F
17	Spectrogram 1	1	75.251293248	76.018876189	860.754	690.087	75.3749	0.1304	75.9062	0.8696	0.5312	0.7676	720.000	816.000	752.000	96.000	26.10	LS
262	Spectrogram 1	1	78.361426874	78.714129770	3034.688	644.741	78.3749	0.0000	78.6874	1.0000	0.3125	0.3527	688.000	2624.000	720.000	1936.000	12.91	break
18	Spectrogram 1	1	79.950780293	82.462869918	667.826	222.609	80.2499	0.1139	82.2812	0.9367	2.0312	2.5121	256.000	608.000	304.000	352.000	21.78	F
19	Spectrogram 1	1	83.114152413	83.951515621	853.333	704.928	83.3124	0.2308	83.8437	0.8846	0.5312	0.8374	736.000	832.000	752.000	96.000	28.79	LS
20	Spectrogram 1	1	87.254448276	90.348040129	1075.942	912.696	87.9999	0.2347	90.0937	0.9184	2.0938	3.0936	944.000	1040.000	960.000	96.000	23.44	L
21	Spectrogram 1	1	92.392712704	93.927878586	1083.362	883.014	92.6562	0.1667	93.8437	0.9583	1.1875	1.5352	928.000	1024.000	960.000	96.000	23.52	L
22	Spectrogram 1	1	95.998026518	98.324035430	1068.522	734.609	96.3437	0.1486	98.1562	0.9324	1.8125	2.3260	768.000	944.000	880.000	176.000	20.84	L
23	Spectrogram 1	1	100.184842559	102.185210224	1179.826	957.217	100.4687	0.1429	102.0937	0.9683	1.6250	2.0004	992.000	1088.000	1024.000	96.000	23.55	L
24	Spectrogram 1	1	103.322739322	105.741788591	1313.391	927.536	104.2499	0.3816	105.6249	0.9605	1.3750	2.4190	960.000	1120.000	1024.000	160.000	20.20	L
25	Spectrogram 1	1	107.904976879	110.324026148	1053.681	793.971	108.1249	0.0909	109.9374	0.8442	1.8125	2.4190	848.000	992.000	896.000	144.000	18.77	L
26	Spectrogram 1	1	112.673295149	114.650402724	1164.986	920.116	112.9374	0.1290	114.4999	0.9355	1.5625	1.9771	976.000	1104.000	1024.000	128.000	20.42	L
27	Spectrogram 1	1	116.508994586	119.695626795	1239.188	793.971	116.9687	0.1386	118.9687	0.7723	2.0000	3.1866	864.000	1056.000	1024.000	192.000	19.85	L
28	Spectrogram 1	1	120.463209736	123.487021322	675.246	252.290	120.9687	0.1667	123.3124	0.9479	2.3438	3.0238	304.000	640.000	320.000	336.000	21.64	F
29	Spectrogram 1	1	126.068891214	129.092702800	645.565	230.029	126.5312	0.1474	128.6874	0.8737	2.1562	3.0238	272.000	608.000	304.000	336.000	21.66	F
30	Spectrogram 1	1	131.945149302	134.364198571	638.145	192.928	132.1874	0.0921	134.0624	0.8816	1.8750	2.4190	224.000	608.000	240.000	384.000	20.15	F
31	Spectrogram 1	1	136.922808374	139.272077375	652.986	207.768	137.3437	0.1757	139.0312	0.9054	1.6875	2.3493	224.000	624.000	304.000	400.000	22.39	F
32	Spectrogram 1	1	140.621162544	142.900651278	652.986	163.246	140.8124	0.0833	142.6874	0.9167	1.8750	2.2795	192.000	624.000	304.000	432.000	22.70	F
33	Spectrogram 1	1	146.746682907	149.026171641	645.565	170.667	146.9687	0.0972	148.8749	0.9444	1.9062	2.2795	208.000	608.000	240.000	400.000	19.11	F
34	Spectrogram 1	1	154.243710446	156.709279893	779.130	200.348	154.6249	0.1538	156.4374	0.8974	1.8125	2.4656	240.000	592.000	304.000	352.000	21.48	F
35	Spectrogram 1	1	157.339293474	158.260341976	797.922	638.338	157.4062	0.0690	158.0937	0.8276	0.6875	0.9210	656.000	768.000	672.000	112.000	17.14	LS
36	Spectrogram 1	1	158.732907646	160.919356024	652.986	192.928	158.9999	0.1159	160.6874	0.8986	1.6875	2.1864	240.000	576.000	544.000	336.000	17.36	F
37	Spectrogram 1	1	162.058030704	164.895761577	645.565	178.087	162.3749	0.1111	164.4999	0.8667	2.1250	2.8377	224.000	576.000	304.000	352.000	20.06	F
