Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	25.115287965	27.769655165	724.077	196.608	25.3749	0.0952	27.4062	0.8690	2.0312	2.6544	240.000	624.000	544.000	384.000	17.26	F
2	Spectrogram 1	1	31.219772405	33.403507122	673.984	241.359	31.4999	0.1176	33.0624	0.8529	1.5625	2.1837	272.000	608.000	304.000	336.000	21.52	F
3	Spectrogram 1	1	33.968266101	34.758928671	742.293	646.660	34.1249	0.2000	34.4999	0.6800	0.3750	0.7907	672.000	704.000	688.000	32.000	31.28	LS
4	Spectrogram 1	1	37.356819973	39.559379990	746.847	223.143	37.6249	0.1159	39.3124	0.8986	1.6875	2.2026	256.000	624.000	592.000	368.000	22.33	F
5	Spectrogram 1	1	40.596241299	42.121090542	1247.781	815.156	40.8437	0.1489	41.6874	0.7234	0.8438	1.5248	880.000	1024.000	976.000	144.000	26.35	L
6	Spectrogram 1	1	44.070210409	45.319053946	1361.700	1005.100	44.5937	0.4103	45.1249	0.8462	0.5312	1.2488	1072.000	1280.000	1088.000	208.000	16.13	R
7	Spectrogram 1	1	45.804715321	48.302402393	2237.630	702.500	46.5937	0.3165	47.5312	0.6962	0.9375	2.4977	816.000	1120.000	848.000	304.000	18.36	L
8	Spectrogram 1	1	49.447175635	52.014242904	2237.630	745.700	50.0312	0.2222	51.2499	0.7037	1.2188	2.5671	832.000	1472.000	1040.000	640.000	18.89	L
9	Spectrogram 1	1	53.124326047	55.517942825	2230.044	626.800	53.4374	0.1316	54.6874	0.6579	1.2500	2.3936	752.000	1168.000	832.000	416.000	18.42	L
10	Spectrogram 1	1	55.968914102	56.697406165	1513.000	637.600	56.1562	0.2273	56.5312	0.7727	0.3750	0.7285	704.000	1024.000	720.000	320.000	17.42	L
11	Spectrogram 1	1	57.842179406	60.756147658	2457.600	680.900	58.4687	0.2151	60.1249	0.7849	1.6562	2.9140	800.000	1344.000	864.000	544.000	18.49	L
12	Spectrogram 1	1	61.796850604	63.982326793	2465.185	713.300	62.2187	0.1884	63.4687	0.7681	1.2500	2.1855	800.000	1408.000	864.000	608.000	19.85	L
13	Spectrogram 1	1	65.127100034	67.312576223	2525.867	756.500	65.6874	0.2464	66.5937	0.6667	0.9062	2.1855	864.000	1344.000	912.000	480.000	18.70	L
14	Spectrogram 1	1	68.006378187	68.734870250	1318.500	1015.900	68.1874	0.2273	68.4374	0.5909	0.2500	0.7285	1104.000	1232.000	1136.000	128.000	15.56	R
15	Spectrogram 1	1	69.810263295	72.099809778	2139.022	810.600	70.3749	0.2466	71.4999	0.7397	1.1250	2.2895	896.000	1136.000	912.000	240.000	17.87	L
16	Spectrogram 1	1	73.001752332	75.464749307	1828.030	853.800	73.5937	0.2338	75.0937	0.8571	1.5000	2.4630	928.000	1472.000	976.000	544.000	20.10	L
17	Spectrogram 1	1	76.609522288	79.107209361	1547.378	713.300	77.2187	0.2405	78.3437	0.6962	1.1250	2.4977	800.000	1376.000	896.000	576.000	20.54	L
18	Spectrogram 1	1	79.766321227	81.153925156	1523.800	1026.700	80.1874	0.3023	80.8124	0.7674	0.6250	1.3876	1136.000	1440.000	1168.000	304.000	19.82	R
19	Spectrogram 1	1	81.743656826	83.686302327	1592.889	616.000	82.1562	0.2131	83.2187	0.7705	1.0625	1.9426	768.000	1280.000	928.000	512.000	21.81	L
20	Spectrogram 1	1	84.935145863	87.155312150	2040.415	788.900	85.2499	0.1429	86.5312	0.7286	1.2812	2.2202	912.000	1440.000	944.000	528.000	18.58	L
21	Spectrogram 1	1	88.438845784	90.069280401	1848.100	648.400	88.6874	0.1373	89.5937	0.7059	0.9062	1.6304	784.000	1248.000	800.000	464.000	18.59	L
22	Spectrogram 1	1	91.005913053	92.428207081	1881.126	626.800	91.3749	0.2500	91.9374	0.6591	0.5625	1.4223	672.000	1408.000	752.000	736.000	20.11	L
23	Spectrogram 1	1	93.156699143	94.370852581	1718.400	1178.000	93.4687	0.2432	94.0937	0.7838	0.6250	1.2142	1280.000	1648.000	1344.000	368.000	15.13	R
24	Spectrogram 1	1	95.064654546	97.978622797	1494.281	659.300	95.8124	0.2500	97.4687	0.8261	1.6562	2.9140	768.000	1168.000	848.000	400.000	20.64	L
25	Spectrogram 1	1	98.672424762	100.857900950	1539.793	616.000	99.3749	0.3188	100.4687	0.8261	1.0938	2.1855	784.000	1072.000	816.000	288.000	20.00	L
26	Spectrogram 1	1	101.690462472	104.153459446	1524.622	637.600	102.3124	0.2468	103.4062	0.7013	1.0938	2.4630	752.000	1216.000	800.000	464.000	22.35	L
27	Spectrogram 1	1	104.222839642	107.206188090	778.100	237.800	104.6874	0.1489	106.6249	0.8085	1.9375	2.9833	352.000	640.000	624.000	288.000	22.29	F
28	Spectrogram 1	1	107.449018778	108.455031626	940.200	626.800	107.8749	0.4194	108.3124	0.8710	0.4375	1.0060	736.000	816.000	752.000	80.000	22.77	LS
