Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	2.105262944	4.671052156	788.900	166.900	2.7812	0.2593	4.3437	0.8765	1.5625	2.5658	256.000	704.000	304.000	448.000	24.85	F
2	Spectrogram 1	1	5.460525760	6.184209897	834.400	614.400	5.6562	0.2727	5.9374	0.6818	0.2812	0.7237	672.000	752.000	688.000	80.000	23.73	LS
3	Spectrogram 1	1	7.565788704	9.934209516	728.200	204.800	7.8124	0.0946	9.4062	0.7838	1.5938	2.3684	272.000	640.000	304.000	368.000	26.84	F
4	Spectrogram 1	1	10.986840988	13.749998601	713.000	212.400	11.5624	0.2045	13.4374	0.8864	1.8750	2.7632	272.000	640.000	304.000	368.000	26.06	F
5	Spectrogram 1	1	34.736838572	37.039469916	682.700	159.300	35.2499	0.2192	36.5937	0.8082	1.3438	2.3026	208.000	656.000	288.000	448.000	21.56	F
6	Spectrogram 1	1	37.828943520	39.342101261	887.500	705.400	37.9999	0.1064	38.6562	0.5532	0.6562	1.5132	736.000	848.000	752.000	112.000	23.26	LS
7	Spectrogram 1	1	40.417857123	54.562592526	2255.287	811.600	42.9999	0.1814	53.9687	0.9580	10.9688	14.1447	912.000	2144.000	976.000	1232.000	15.77	W4
8	Spectrogram 1	1	56.075750267	66.141538717	2280.162	743.300	58.5937	0.2492	65.8749	0.9751	7.2812	10.0658	816.000	1984.000	976.000	1168.000	16.60	W3
9	Spectrogram 1	1	67.457328057	70.812590873	675.100	227.600	68.1562	0.2056	70.5937	0.9346	2.4375	3.3553	288.000	640.000	336.000	352.000	29.38	F
10	Spectrogram 1	1	72.259959147	75.023116761	713.000	250.300	72.7812	0.1839	74.6874	0.8851	1.9062	2.7632	320.000	656.000	432.000	336.000	29.31	F
11	Spectrogram 1	1	76.470485035	79.365221582	659.900	250.300	77.0312	0.1868	79.0624	0.9011	2.0312	2.8947	320.000	640.000	336.000	320.000	29.30	F
12	Spectrogram 1	1	80.483642521	83.641536937	713.000	220.000	81.1562	0.2100	83.4062	0.9300	2.2500	3.1579	272.000	656.000	320.000	384.000	29.12	F
